"RIX","alias","ID","day","virus","antigen","IgG1","IgG2b","IgG3","IgM"
"CC003xCC051","X13067x16912","76","D15","SARS","S",0.685798208195527,1.69637217310451,0.267504046760778,-0.576622019458032
"CC005xCC001","X16211x13140","34","D15","SARS","N",2.17601647925516,1.2533744651556,0.285487492514509,-0.242863271445512
"CC005xCC001","X16211x13140","34","D15","SARS","S",1.08860132394636,0.977816462913016,0.160350707781138,0.336744857467653
"CC005xCC001","X16211x13140","37","D15","SARS","N",1.94896370807798,1.14848149543714,0.222727925806502,-0.766366330535039
"CC005xCC001","X16211x13140","37","D15","SARS","S",0.636300279290745,1.13334773721118,0.174108120550392,0.331309445276252
"CC005xCC001","X16211x13140","38","D15","SARS","N",1.16168267482102,0.933155143354171,0.195312686854282,-0.385135108071373
"CC005xCC001","X16211x13140","38","D15","SARS","S",0.409422827000686,0.761992076041479,0.137293925421317,0.18059635216241
"CC005xCC038","X16211x8049","104","D15","SARS","N",1.21068570292831,2.55188934575368,0.92645288812343,0.207835739092794
"CC005xCC038","X16211x8049","104","D15","SARS","S",2.08919151797811,2.58423172852156,1.83656641518512,0.647417054445502
"CC005xCC038","X16211x8049","105","D15","SARS","N",0.998907328017984,2.62316203879101,1.12004056670027,0.221796684725206
"CC005xCC038","X16211x8049","105","D15","SARS","S",1.64979899157073,2.57403615198319,1.27935499453618,0.695944584713963
"CC005xCC038","X16211x8049","106","D15","SARS","N",1.21982075388162,2.69475257328759,1.85221617551105,0.423661641920309
"CC005xCC038","X16211x8049","106","D15","SARS","S",2.2703622199129,2.50109624248055,2.17578898682261,0.675786316008238
"CC005xCC040","X16211x16557","21","D15","SARS","N",0.94513612881553,1.72288583269991,0.3648880173727,-0.636917455779555
"CC005xCC040","X16211x16557","21","D15","SARS","S",0.743164010975235,2.01276373834474,1.01616738958104,-0.0834609425453102
"CC005xCC040","X16211x16557","29","D15","SARS","N",1.67055894247888,1.22453672832317,0.548877931871237,-0.511924995482931
"CC005xCC040","X16211x16557","29","D15","SARS","S",0.684760974190697,2.38200265672812,0.748317668895475,0.223114107933937
"CC005xCC040","X16211x16557","30","D15","SARS","N",2.17526245135346,1.33110348529851,0.330205294155186,-0.561825759617282
"CC005xCC040","X16211x16557","30","D15","SARS","S",0.541580680234796,2.34378654499596,1.30686861345645,0.288214248338845
"CC006xCC007","X16750x13421","84","D15","SARS","N",2.43892827463339,1.13766362408594,0.579217284933579,-0.445231092096426
"CC006xCC007","X16750x13421","84","D15","SARS","S",1.8887739071258,2.35734740984189,1.31057321672558,0.150859161920111
"CC006xCC007","X16750x13421","85","D15","SARS","N",2.42762934452047,1.40453159070087,0.658014183720477,-0.747433780920612
"CC006xCC007","X16750x13421","85","D15","SARS","S",1.95133330121806,2.43472868729269,1.05517004040203,-0.150493003194303
"CC006xCC007","X16750x13421","86","D15","SARS","N",2.1209333434244,1.44208896489704,0.804345973306808,-0.700328948771274
"CC006xCC007","X16750x13421","86","D15","SARS","S",1.52906164549523,2.48717335142188,1.16201667372732,0.0210305077090438
