"RIX","alias","ID","day","isotype","virus","antigen","halfmax","last_positive"
"CC001xCC074","X13140x3015","57","D29","TotalG","SARS","S",1e+05,3e+06
"CC001xCC074","X13140x3015","98","DRECHAL","IgG1","SARS","N",NA,NA
"CC001xCC074","X13140x3015","98","DRECHAL","IgG1","SARS","S",NA,NA
"CC001xCC074","X13140x3015","98","DRECHAL","IgG2ac","SARS","N",1000,10000
"CC001xCC074","X13140x3015","98","DRECHAL","IgG2ac","SARS","S",10000,1e+05
"CC001xCC074","X13140x3015","98","DRECHAL","IgG2b","SARS","N",NA,3000
"CC001xCC074","X13140x3015","98","DRECHAL","IgG2b","SARS","S",3000,30000
"CC001xCC074","X13140x3015","98","DRECHAL","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","98","DRECHAL","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","98","DRECHAL","IgM","SARS","N",NA,NA
"CC001xCC074","X13140x3015","98","DRECHAL","IgM","SARS","S",NA,NA
"CC001xCC074","X13140x3015","98","DRECHAL","TotalG","SARS","N",3000,30000
"CC001xCC074","X13140x3015","98","DRECHAL","TotalG","SARS","S",30000,3e+05
"CC002xCC011","X15156x3252","104","D10","IgG1","SARS","N",300,3000
"CC002xCC011","X15156x3252","104","D10","IgG1","SARS","S",NA,300
"CC002xCC011","X15156x3252","104","D10","IgG2ac","SARS","N",100,3000
"CC002xCC011","X15156x3252","104","D10","IgG2ac","SARS","S",3000,30000
"CC002xCC011","X15156x3252","104","D10","IgG2b","SARS","N",100,3000
"CC002xCC011","X15156x3252","104","D10","IgG2b","SARS","S",1000,10000
"CC002xCC011","X15156x3252","104","D10","IgG3","SARS","N",NA,1000
"CC002xCC011","X15156x3252","104","D10","IgG3","SARS","S",300,3000
"CC002xCC011","X15156x3252","104","D10","IgM","SARS","N",NA,100
"CC002xCC011","X15156x3252","104","D10","IgM","SARS","S",1000,10000
"CC002xCC011","X15156x3252","104","D10","TotalG","SARS","N",1000,30000
"CC002xCC011","X15156x3252","104","D10","TotalG","SARS","S",3000,1e+05
"CC002xCC011","X15156x3252","108","D10","IgG1","SARS","N",3000,30000
"CC002xCC011","X15156x3252","108","D10","IgG1","SARS","S",NA,300
"CC002xCC011","X15156x3252","108","D10","IgG2ac","SARS","N",100,3000
"CC002xCC011","X15156x3252","108","D10","IgG2ac","SARS","S",300,30000
"CC002xCC011","X15156x3252","108","D10","IgG2b","SARS","N",1000,10000
"CC002xCC011","X15156x3252","108","D10","IgG2b","SARS","S",1000,10000
"CC002xCC011","X15156x3252","108","D10","IgG3","SARS","N",NA,300
"CC002xCC011","X15156x3252","108","D10","IgG3","SARS","S",100,3000
"CC002xCC011","X15156x3252","108","D10","IgM","SARS","N",NA,100
"CC002xCC011","X15156x3252","108","D10","IgM","SARS","S",3000,30000
"CC002xCC011","X15156x3252","108","D10","TotalG","SARS","N",3000,1e+05
"CC002xCC011","X15156x3252","108","D10","TotalG","SARS","S",10000,3e+05
"CC002xCC011","X15156x3252","109","D10","IgG1","SARS","N",300,10000
"CC002xCC011","X15156x3252","109","D10","IgG1","SARS","S",NA,100
"CC002xCC011","X15156x3252","109","D10","IgG2ac","SARS","N",100,3000
"CC002xCC011","X15156x3252","109","D10","IgG2ac","SARS","S",3000,30000
"CC002xCC011","X15156x3252","109","D10","IgG2b","SARS","N",100,1000
"CC002xCC011","X15156x3252","109","D10","IgG2b","SARS","S",1000,10000
"CC002xCC011","X15156x3252","109","D10","IgG3","SARS","N",NA,300
"CC002xCC011","X15156x3252","109","D10","IgG3","SARS","S",100,3000
"CC002xCC011","X15156x3252","109","D10","IgM","SARS","N",NA,100
"CC002xCC011","X15156x3252","109","D10","IgM","SARS","S",1000,10000
"CC002xCC011","X15156x3252","109","D10","TotalG","SARS","N",1000,30000
"CC002xCC011","X15156x3252","109","D10","TotalG","SARS","S",3000,3e+05
"CC002xCC011","X15156x3252","110","D10","IgG1","SARS","N",300,3000
"CC002xCC011","X15156x3252","110","D10","IgG1","SARS","S",NA,300
"CC002xCC011","X15156x3252","110","D10","IgG2ac","SARS","N",NA,3000
"CC002xCC011","X15156x3252","110","D10","IgG2ac","SARS","S",3000,1e+05
"CC002xCC011","X15156x3252","110","D10","IgG2b","SARS","N",NA,1000
"CC002xCC011","X15156x3252","110","D10","IgG2b","SARS","S",1000,10000
"CC002xCC011","X15156x3252","110","D10","IgG3","SARS","N",NA,300
"CC002xCC011","X15156x3252","110","D10","IgG3","SARS","S",NA,3000
"CC002xCC011","X15156x3252","110","D10","IgM","SARS","N",NA,300
"CC002xCC011","X15156x3252","110","D10","IgM","SARS","S",1000,10000
"CC002xCC011","X15156x3252","110","D10","TotalG","SARS","N",1000,10000
"CC002xCC011","X15156x3252","110","D10","TotalG","SARS","S",10000,1e+05
"CC002xCC011","X15156x3252","111","D15","IgG1","SARS","N",100,1000
"CC002xCC011","X15156x3252","111","D15","IgG1","SARS","S",300,10000
"CC002xCC011","X15156x3252","111","D15","IgG2ac","SARS","N",NA,3000
"CC002xCC011","X15156x3252","111","D15","IgG2ac","SARS","S",10000,3e+05
"CC002xCC011","X15156x3252","111","D15","IgG2b","SARS","N",300,3000
"CC002xCC011","X15156x3252","111","D15","IgG2b","SARS","S",3000,30000
"CC002xCC011","X15156x3252","111","D15","IgG3","SARS","N",NA,300
"CC002xCC011","X15156x3252","111","D15","IgG3","SARS","S",1000,10000
"CC002xCC011","X15156x3252","111","D15","IgM","SARS","N",NA,300
"CC002xCC011","X15156x3252","111","D15","IgM","SARS","S",100,3000
"CC002xCC011","X15156x3252","111","D15","TotalG","SARS","N",3000,10000
"CC002xCC011","X15156x3252","111","D15","TotalG","SARS","S",30000,3e+06
"CC002xCC011","X15156x3252","116","D7","IgG1","SARS","N",NA,100
"CC002xCC011","X15156x3252","116","D7","IgG1","SARS","S",NA,NA
"CC002xCC011","X15156x3252","116","D7","IgG2ac","SARS","N",NA,NA
"CC002xCC011","X15156x3252","116","D7","IgG2ac","SARS","S",300,10000
"CC002xCC011","X15156x3252","116","D7","IgG2b","SARS","N",NA,NA
"CC002xCC011","X15156x3252","116","D7","IgG2b","SARS","S",100,1000
"CC002xCC011","X15156x3252","116","D7","IgG3","SARS","N",NA,NA
"CC002xCC011","X15156x3252","116","D7","IgG3","SARS","S",NA,300
