"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC032xCC017","X8002x3032","59","D29","IgG2b","SARS","S",3.4322178663955
"CC032xCC017","X8002x3032","52","D15","IgG2b","SARS","S",2.69478672664529
"CC032xCC017","X8002x3032","51","D15","IgG2b","SARS","S",2.5148946795933
"CC032xCC017","X8002x3032","60","DRECHAL","IgG2ac","SARS","S",5.67092999186746
"CC032xCC017","X8002x3032","59","DRECHAL","IgG2ac","SARS","S",5.94888401036296
"CC032xCC017","X8002x3032","61","D29","IgG2ac","SARS","S",5.79415877932026
"CC032xCC017","X8002x3032","60","D29","IgG2ac","SARS","S",8.35600128845764
"CC032xCC017","X8002x3032","51","D15","IgG2ac","SARS","S",5.93484180928251
"CC032xCC017","X8002x3032","59","DRECHAL","IgG1","SARS","S",-0.0871012881556777
"CC032xCC017","X8002x3032","31","DRECHAL","IgG1","SARS","S",0.296643041208233
"CC032xCC017","X8002x3032","61","D29","IgG1","SARS","S",-0.0851241669009579
"CC032xCC017","X8002x3032","58","D15","IgG1","SARS","S",0.372675469114125
"CC032xCC017","X8002x3032","52","D15","IgG1","SARS","S",1.39438314212019
"CC012xCC038","X8005x8049","108","DRECHAL","IgG2ac","SARS","N",1.48863102789422
"CC012xCC038","X8005x8049","99","DRECHAL","IgG2ac","SARS","N",1.82214990220149
"CC012xCC038","X8005x8049","98","DRECHAL","IgG2ac","SARS","N",1.15338625050242
"CC012xCC038","X8005x8049","65","D29","IgG2ac","SARS","N",0.939856930978746
"CC012xCC038","X8005x8049","63","D29","IgG2ac","SARS","N",0.78530518073769
"CC012xCC038","X8005x8049","57","D29","IgG2ac","SARS","N",0.664223662945072
"CC012xCC038","X8005x8049","97","D15","IgG2ac","SARS","N",0.844811621516078
"CC012xCC038","X8005x8049","88","D15","IgG2ac","SARS","N",0.261414253755431
"CC012xCC038","X8005x8049","87","D15","IgG2ac","SARS","N",0.243976449212882
"CC012xCC038","X8005x8049","65","D29","IgG2ac","SARS","S",5.19373097196622
"CC012xCC038","X8005x8049","63","D29","IgG2ac","SARS","S",5.44196953259358
"CC012xCC038","X8005x8049","57","D29","IgG2ac","SARS","S",5.6111034726691
"CC012xCC038","X8005x8049","97","D15","IgG2ac","SARS","S",1.94428695065923
"CC012xCC038","X8005x8049","108","DRECHAL","TotalG","SARS","N",3.89822119879167
"CC012xCC038","X8005x8049","65","D29","TotalG","SARS","N",3.23303172805103
"CC012xCC038","X8005x8049","63","D29","TotalG","SARS","N",3.40023097196623
"CC012xCC038","X8005x8049","88","D15","TotalG","SARS","N",2.02205816320643
"CC012xCC038","X8005x8049","108","DRECHAL","TotalG","SARS","S",6.24420453681083
"CC012xCC038","X8005x8049","99","DRECHAL","TotalG","SARS","S",5.50825362669755
"CC012xCC038","X8005x8049","98","DRECHAL","TotalG","SARS","S",5.29656082356077
"CC012xCC038","X8005x8049","65","D29","TotalG","SARS","S",7.47556393194298
"CC012xCC038","X8005x8049","57","D29","TotalG","SARS","S",7.80913567656104
"CC012xCC038","X8005x8049","97","D15","TotalG","SARS","S",3.21259036709837
"CC012xCC038","X8005x8049","88","D15","TotalG","SARS","S",4.78673408034844
"CC012xCC038","X8005x8049","87","D15","TotalG","SARS","S",3.76740733713613
"CC027xCC045","X8027x8045","79","DRECHAL","IgG2ac","SARS","N",0.838109045204719
"CC027xCC045","X8027x8045","78","DRECHAL","IgG2ac","SARS","N",0.0627381125994685
"CC027xCC045","X8027x8045","75","DRECHAL","IgG2ac","SARS","N",0.0501075049201207
"CC027xCC045","X8027x8045","154","D29","IgG2ac","SARS","N",0.202221674632577
"CC027xCC045","X8027x8045","58","D15","IgG2ac","SARS","N",0.545867600209086
"CC027xCC045","X8027x8045","135","D10","IgG2ac","SARS","N",0.303590394911392
"CC027xCC045","X8027x8045","127","D10","IgG2ac","SARS","N",0.478318734336304
"CC027xCC045","X8027x8045","125","D10","IgG2ac","SARS","N",0.591759647261074
"CC027xCC045","X8027x8045","78","DRECHAL","TotalG","SARS","N",0.0180943993493971
"CC027xCC045","X8027x8045","75","DRECHAL","TotalG","SARS","N",0.0157350042172466
"CC027xCC045","X8027x8045","74","DRECHAL","TotalG","SARS","N",2.97369187926799
"CC027xCC045","X8027x8045","155","D29","TotalG","SARS","N",2.4378522544989
"CC027xCC045","X8027x8045","60","D15","TotalG","SARS","N",2.79453550847509
"CC027xCC045","X8027x8045","58","D15","TotalG","SARS","N",2.13480005622995
"CC027xCC045","X8027x8045","135","D10","TotalG","SARS","N",1.13820966131856
"CC027xCC045","X8027x8045","79","DRECHAL","IgG2ac","SARS","S",3.44787801761246
"CC027xCC045","X8027x8045","78","DRECHAL","IgG2ac","SARS","S",0.0668949314202632
"CC027xCC045","X8027x8045","75","DRECHAL","IgG2ac","SARS","S",0.0428622795004265
"CC027xCC045","X8027x8045","155","D29","IgG2ac","SARS","S",4.9158582472494
"CC027xCC045","X8027x8045","58","D15","IgG2ac","SARS","S",3.86920809322094
"CC027xCC045","X8027x8045","127","D10","IgG2ac","SARS","S",3.20614634579138
"CC027xCC045","X8027x8045","79","DRECHAL","TotalG","SARS","S",6.05067832566938
"CC027xCC045","X8027x8045","78","DRECHAL","TotalG","SARS","S",0.347633044019732
"CC027xCC045","X8027x8045","75","DRECHAL","TotalG","SARS","S",0.350626379227397
"CC027xCC045","X8027x8045","153","D29","TotalG","SARS","S",7.30112590338648
"CC027xCC045","X8027x8045","61","D15","TotalG","SARS","S",5.51898552253258
"CC027xCC045","X8027x8045","60","D15","TotalG","SARS","S",6.08890711312218
"CC027xCC045","X8027x8045","59","D15","TotalG","SARS","S",5.91831893053724
"CC027xCC045","X8027x8045","135","D10","TotalG","SARS","S",4.39594976223052
"CC003xCC051","X13067x16912","72","DRECHAL","IgG2ac","SARS","N",1.34678118192268
"CC003xCC051","X13067x16912","71","DRECHAL","IgG2ac","SARS","N",1.38414967818754
"CC003xCC051","X13067x16912","120","D29","IgG2ac","SARS","N",1.56467521728716
"CC003xCC051","X13067x16912","119","D29","IgG2ac","SARS","N",0.938778073540457
"CC003xCC051","X13067x16912","76","D15","IgG2ac","SARS","N",0.55997978160905
"CC003xCC051","X13067x16912","62","D15","IgG2ac","SARS","N",1.43049997218698
"CC003xCC051","X13067x16912","120","D29","TotalG","SARS","N",1.6805090733197
"CC003xCC051","X13067x16912","118","D29","TotalG","SARS","N",2.18905771517854
"CC003xCC051","X13067x16912","76","D15","TotalG","SARS","N",0.188891599024096
"CC003xCC051","X13067x16912","62","D15","TotalG","SARS","N",2.84223741274461
"CC003xCC051","X13067x16912","61","D15","TotalG","SARS","N",1.60617566531505
"CC003xCC051","X13067x16912","70","DRECHAL","IgG2ac","SARS","S",6.41286779641001
"CC003xCC051","X13067x16912","120","D29","IgG2ac","SARS","S",6.59134491766474
"CC003xCC051","X13067x16912","119","D29","IgG2ac","SARS","S",5.77836135563164
"CC003xCC051","X13067x16912","118","D29","IgG2ac","SARS","S",4.79301173367403
"CC017xCC004","X3032x16188","81","DRECHAL","IgG2b","SARS","N",5.62584514167867
"CC003xCC051","X13067x16912","76","D15","IgG2ac","SARS","S",2.91915567093805
"CC003xCC051","X13067x16912","62","D15","IgG2ac","SARS","S",2.98822097477772
"CC003xCC051","X13067x16912","120","D29","TotalG","SARS","S",5.95114567374954
"CC041xCC016","X16441x8024","121","D10","IgM","SARS","S",3.52359081512627
"CC003xCC051","X13067x16912","76","D15","TotalG","SARS","S",2.60628650263134
"CC003xCC051","X13067x16912","62","D15","TotalG","SARS","S",3.12871453399934
"CC017xCC004","X3032x16188","108","D7","IgG3","SARS","N",0.00436272752831798
"CC003xCC051","X13067x16912","61","D15","TotalG","SARS","S",4.353743853523
"CC001xCC074","X13140x3015","123","DRECHAL","IgG3","SARS","N",-0.0380457574905605
"CC001xCC074","X13140x3015","57","D29","IgG3","SARS","N",-0.0361012881556779
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2b","SARS","N",1.46618255412133
"CC020xCC008","X8054x8036","107","D10","IgG2ac","SARS","S",2.64563324022066
"CC001xCC074","X13140x3015","50","D29","IgG2b","SARS","N",0.397083730119058
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2ac","SARS","N",2.12703172805103
"CC001xCC074","X13140x3015","57","D29","IgG2ac","SARS","N",1.93992399911697
"CC002xCC021","X15156x1566","106","D15","IgG3","SARS","S",0.697096387661889
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","N",1.71293088792325
