"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC027xCC045","X8027x8045","79","DRECHAL","IgG2ac","SARS","S",3.44787801761246
"CC027xCC045","X8027x8045","75","DRECHAL","IgG2ac","SARS","S",0.0428622795004265
"CC027xCC045","X8027x8045","74","DRECHAL","IgG2ac","SARS","S",4.27775051831533
"CC027xCC045","X8027x8045","153","D29","IgG2ac","SARS","S",5.331243853523
"CC027xCC045","X8027x8045","59","D15","IgG2ac","SARS","S",3.47074407753695
"CC027xCC045","X8027x8045","135","D10","IgG2ac","SARS","S",2.42476073951778
"CC027xCC045","X8027x8045","127","D10","IgG2ac","SARS","S",3.20614634579138
"CC017xCC004","X3032x16188","142","D15","TotalG","SARS","S",5.33187779359851
"CC027xCC045","X8027x8045","79","DRECHAL","TotalG","SARS","S",6.05067832566938
"CC027xCC045","X8027x8045","155","D29","TotalG","SARS","S",6.63759347548059
"CC027xCC045","X8027x8045","153","D29","TotalG","SARS","S",7.30112590338648
"CC027xCC045","X8027x8045","59","D15","TotalG","SARS","S",5.91831893053724
"CC027xCC045","X8027x8045","127","D10","TotalG","SARS","S",5.08031248975884
"CC027xCC045","X8027x8045","125","D10","TotalG","SARS","S",3.98289423156541
"CC003xCC051","X13067x16912","71","DRECHAL","IgG2ac","SARS","N",1.38414967818754
"CC003xCC051","X13067x16912","70","DRECHAL","IgG2ac","SARS","N",1.42335558689507
"CC003xCC051","X13067x16912","120","D29","IgG2ac","SARS","N",1.56467521728716
"CC003xCC051","X13067x16912","119","D29","IgG2ac","SARS","N",0.938778073540457
"CC003xCC051","X13067x16912","76","D15","IgG2ac","SARS","N",0.55997978160905
"CC003xCC051","X13067x16912","62","D15","IgG2ac","SARS","N",1.43049997218698
"CC003xCC051","X13067x16912","61","D15","IgG2ac","SARS","N",0.798083282091166
"CC003xCC051","X13067x16912","72","DRECHAL","TotalG","SARS","N",1.64724430155089
"CC003xCC051","X13067x16912","120","D29","TotalG","SARS","N",1.6805090733197
"CC003xCC051","X13067x16912","118","D29","TotalG","SARS","N",2.18905771517854
"CC003xCC051","X13067x16912","76","D15","TotalG","SARS","N",0.188891599024096
"CC003xCC051","X13067x16912","62","D15","TotalG","SARS","N",2.84223741274461
"CC003xCC051","X13067x16912","71","DRECHAL","IgG2ac","SARS","S",6.92097885774026
"CC003xCC051","X13067x16912","70","DRECHAL","IgG2ac","SARS","S",6.41286779641001
"CC003xCC051","X13067x16912","120","D29","IgG2ac","SARS","S",6.59134491766474
"CC003xCC051","X13067x16912","119","D29","IgG2ac","SARS","S",5.77836135563164
"CC003xCC051","X13067x16912","76","D15","IgG2ac","SARS","S",2.91915567093805
"CC003xCC051","X13067x16912","62","D15","IgG2ac","SARS","S",2.98822097477772
"CC003xCC051","X13067x16912","72","DRECHAL","TotalG","SARS","S",5.54110968943354
"CC003xCC051","X13067x16912","70","DRECHAL","TotalG","SARS","S",5.9190770375137
"CC003xCC051","X13067x16912","120","D29","TotalG","SARS","S",5.95114567374954
"CC012xCC038","X8005x8049","99","DRECHAL","TotalG","SARS","N",4.04327672945678
"CC003xCC051","X13067x16912","119","D29","TotalG","SARS","S",5.56952483924476
"CC003xCC051","X13067x16912","118","D29","TotalG","SARS","S",5.33486468802779
"CC003xCC051","X13067x16912","62","D15","TotalG","SARS","S",3.12871453399934
"CC003xCC051","X13067x16912","61","D15","TotalG","SARS","S",4.353743853523
"CC001xCC074","X13140x3015","123","DRECHAL","IgG3","SARS","N",-0.0380457574905605
"CC001xCC074","X13140x3015","119","DRECHAL","IgG3","SARS","N",-0.026
"CC001xCC074","X13140x3015","57","D29","IgG3","SARS","N",-0.0361012881556779
"CC001xCC074","X13140x3015","50","D29","IgG3","SARS","N",-0.00264060486784946
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2b","SARS","N",1.46618255412133
"CC001xCC074","X13140x3015","98","DRECHAL","IgG2b","SARS","N",0.487753430496631
"CC001xCC074","X13140x3015","50","D29","IgG2b","SARS","N",0.397083730119058
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2ac","SARS","N",2.30667210890494
"CC001xCC074","X13140x3015","57","D29","IgG2ac","SARS","N",1.93992399911697
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","N",1.71293088792325
"CC001xCC074","X13140x3015","43","D29","IgG2ac","SARS","N",1.12147420907342
"CC001xCC074","X13140x3015","123","DRECHAL","IgG1","SARS","N",1.45713035585238
"CC011xNA","X3252x8042","10","D15","IgG2ac","SARS","N",0.77378541037463
"CC001xCC074","X13140x3015","57","D29","IgG1","SARS","N",0.803926015242479
"CC001xCC074","X13140x3015","50","D29","IgG1","SARS","N",1.31412747148411
"CC001xCC074","X13140x3015","123","DRECHAL","TotalG","SARS","N",3.57981248975884
"CC027xCC045","X8027x8045","135","D10","TotalG","SARS","S",4.39594976223052
"CC001xCC074","X13140x3015","123","DRECHAL","IgG3","SARS","S",0.0779671240662178
"CC001xCC074","X13140x3015","119","DRECHAL","IgG3","SARS","S",0.0247318958350253
"CC001xCC074","X13140x3015","98","DRECHAL","IgG3","SARS","S",0.0233560627359831
"CC001xCC074","X13140x3015","57","D29","IgG3","SARS","S",-0.00738893866976574
"CC001xCC074","X13140x3015","50","D29","IgG3","SARS","S",0.00262083450479072
"CC001xCC074","X13140x3015","43","D29","IgG3","SARS","S",0.0466959115190208
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2b","SARS","S",3.93264589776348
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2b","SARS","S",4.18286157964556
"CC001xCC074","X13140x3015","98","DRECHAL","IgG2b","SARS","S",2.58419498765022
"CC001xCC074","X13140x3015","57","D29","IgG2b","SARS","S",2.96041733432463
"CC001xCC074","X13140x3015","50","D29","IgG2b","SARS","S",2.4980774855416
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2ac","SARS","S",7.34549196331097
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2ac","SARS","S",6.93259658386281
"CC001xCC074","X13140x3015","57","D29","IgG2ac","SARS","S",6.83109991625899
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","S",5.85442355108908
"CC001xCC074","X13140x3015","123","DRECHAL","IgG1","SARS","S",5.49215233854187
"CC001xCC074","X13140x3015","119","DRECHAL","IgG1","SARS","S",1.67473497640423
"CC001xCC074","X13140x3015","98","DRECHAL","IgG1","SARS","S",0.0302971996746983
"CC001xCC074","X13140x3015","57","D29","IgG1","SARS","S",3.29918210609344
"CC001xCC074","X13140x3015","50","D29","IgG1","SARS","S",0.514302744397301
"CC001xCC074","X13140x3015","119","DRECHAL","TotalG","SARS","S",7.50931204173095
"CC001xCC074","X13140x3015","57","D29","TotalG","SARS","S",7.33617476925926
"CC001xCC074","X13140x3015","50","D29","TotalG","SARS","S",6.18758347829209
"CC001xCC074","X13140x3015","43","D29","TotalG","SARS","S",6.92852128283464
"CC059xNA","X16012x15119","40","DRECHAL","IgG2ac","SARS","N",2.8258586952773
"CC059xNA","X16012x15119","13","D29","IgG2ac","SARS","N",0.282218118222464
"CC059xNA","X16012x15119","156","D15","IgG2ac","SARS","N",0.685981993935488
"CC059xNA","X16012x15119","11","D7","IgG2ac","SARS","N",-0.0223007560848118
"CC059xNA","X16012x15119","43","D29","TotalG","SARS","N",5.77698552253258
"CC059xNA","X16012x15119","20","D29","TotalG","SARS","N",6.529207869207
"CC059xNA","X16012x15119","13","D29","TotalG","SARS","N",1.19432360701707
"CC059xNA","X16012x15119","12","D29","TotalG","SARS","N",0.880275637200077
"CC059xNA","X16012x15119","146","D15","TotalG","SARS","N",4.52900574092353
"CC059xNA","X16012x15119","43","DRECHAL","IgG2ac","SARS","S",5.80524696190522
"CC059xNA","X16012x15119","40","DRECHAL","IgG2ac","SARS","S",5.04171453399934
"CC059xNA","X16012x15119","20","D29","IgG2ac","SARS","S",5.94809991625898
"CC059xNA","X16012x15119","13","D29","IgG2ac","SARS","S",1.69274452556484
"CC059xNA","X16012x15119","156","D15","IgG2ac","SARS","S",3.73544998624447
"CC059xNA","X16012x15119","155","D15","IgG2ac","SARS","S",3.28972453118783
"CC059xNA","X16012x15119","146","D15","IgG2ac","SARS","S",4.17859369949453
"CC059xNA","X16012x15119","21","D7","IgG2ac","SARS","S",0.33058728652917
"CC027xCC045","X8027x8045","78","DRECHAL","TotalG","SARS","S",0.347633044019732
"CC059xNA","X16012x15119","11","D7","IgG2ac","SARS","S",0.122029095509723
"CC059xNA","X16012x15119","43","DRECHAL","TotalG","SARS","S",8.54885735119361
"CC059xNA","X16012x15119","40","DRECHAL","TotalG","SARS","S",6.18515233854189
"CC059xNA","X16012x15119","42","D29","TotalG","SARS","S",9.37202349516108
"CC059xNA","X16012x15119","20","D29","TotalG","SARS","S",8.1000150660702
"CC059xNA","X16012x15119","12","D29","TotalG","SARS","S",5.27241377791452
"CC059xNA","X16012x15119","146","D15","TotalG","SARS","S",6.85871764238156
"CC027xCC045","X8027x8045","60","D15","IgG2ac","SARS","N",0.611256538878852
"CC005xCC001","X16211x13140","105","D29","IgG2ac","SARS","N",1.61940179241352
"CC005xCC001","X16211x13140","90","D29","IgG2ac","SARS","N",1.21435936731913
"CC005xCC001","X16211x13140","38","D15","IgG2ac","SARS","N",0.941840268997911
"CC032xCC017","X8002x3032","59","D29","IgG2ac","SARS","N",1.62361058548932
"CC005xCC001","X16211x13140","37","D15","IgG2ac","SARS","N",1.7263786896543
"CC005xCC001","X16211x13140","137","D10","IgG2ac","SARS","N",0.562191683067068
"CC005xCC001","X16211x13140","136","D10","IgG2ac","SARS","N",0.91898176992154
"CC005xCC001","X16211x13140","105","D29","TotalG","SARS","N",3.74609014308442
"CC005xCC001","X16211x13140","91","D29","TotalG","SARS","N",3.24422097477772
"CC005xCC001","X16211x13140","90","D29","TotalG","SARS","N",3.22731582215501
"CC005xCC001","X16211x13140","38","D15","TotalG","SARS","N",2.24690422875391
"CC005xCC001","X16211x13140","34","D15","TotalG","SARS","N",5.04621764238155
"CC005xCC001","X16211x13140","135","D10","TotalG","SARS","N",2.04270498483873
"CC005xCC001","X16211x13140","105","D29","IgG2ac","SARS","S",4.17595953540508
"CC005xCC001","X16211x13140","91","D29","IgG2ac","SARS","S",3.39897930576814
"CC005xCC001","X16211x13140","90","D29","IgG2ac","SARS","S",3.69023408034842
"CC005xCC001","X16211x13140","37","D15","IgG2ac","SARS","S",2.72185513886718
"CC005xCC001","X16211x13140","135","D10","IgG2ac","SARS","S",1.66930050425785
"CC005xCC001","X16211x13140","91","D29","TotalG","SARS","S",4.44499196331097
"CC005xCC001","X16211x13140","38","D15","TotalG","SARS","S",2.93617521728716
"CC005xCC001","X16211x13140","37","D15","TotalG","SARS","S",3.90885158245707
"CC005xCC001","X16211x13140","34","D15","TotalG","SARS","S",4.52250840127786
"CC005xCC001","X16211x13140","137","D10","TotalG","SARS","S",4.28576141155962
"CC005xCC001","X16211x13140","135","D10","TotalG","SARS","S",3.2674611035027
"CC032xCC017","X8002x3032","58","D15","IgG2b","SARS","S",1.82628384227701
"CC041xCC012","X16441x8005","187","DRECHAL","IgG2ac","SARS","N",1.71510770112105
"CC041xCC012","X16441x8005","166","DRECHAL","IgG2ac","SARS","N",2.09437224887591
"CC041xCC012","X16441x8005","165","DRECHAL","IgG2ac","SARS","N",2.2629990761312
"CC041xCC012","X16441x8005","58","D29","IgG2ac","SARS","N",1.58872475520178
"CC041xCC012","X16441x8005","57","D29","IgG2ac","SARS","N",0.900791627139075
"CC041xCC012","X16441x8005","50","D29","IgG2ac","SARS","N",1.33313702064471
"CC041xCC012","X16441x8005","187","DRECHAL","TotalG","SARS","N",3.02041377791451
"CC041xCC012","X16441x8005","165","DRECHAL","TotalG","SARS","N",3.33522097477772
"CC041xCC012","X16441x8005","59","D15","TotalG","SARS","N",2.99758703470221
"CC041xCC012","X16441x8005","51","D15","TotalG","SARS","N",1.8168062729944
"CC041xCC012","X16441x8005","187","DRECHAL","IgG2ac","SARS","S",4.66392598742946
"CC041xCC012","X16441x8005","58","D29","IgG2ac","SARS","S",3.99494976223052
"CC041xCC012","X16441x8005","50","D29","IgG2ac","SARS","S",3.93486757239607
"CC041xCC012","X16441x8005","60","D15","IgG2ac","SARS","S",3.76651839846637
"CC041xCC012","X16441x8005","59","D15","IgG2ac","SARS","S",3.82946286780125
"CC041xCC012","X16441x8005","51","D15","IgG2ac","SARS","S",2.40124763394706
"CC041xCC012","X16441x8005","187","DRECHAL","TotalG","SARS","S",5.4779102215044
"CC041xCC012","X16441x8005","165","DRECHAL","TotalG","SARS","S",5.85735491485323
"CC041xCC012","X16441x8005","57","D29","TotalG","SARS","S",5.66033536850412
"CC041xCC012","X16441x8005","50","D29","TotalG","SARS","S",4.66965233854188
"CC041xCC012","X16441x8005","60","D15","TotalG","SARS","S",4.84778627861739
"CC041xCC012","X16441x8005","59","D15","TotalG","SARS","S",4.4571654441126
"CC041xCC012","X16441x8005","51","D15","TotalG","SARS","S",3.16545309462669
"CC019xCC002","X16513x15156","99","DRECHAL","IgG3","SARS","N",0.0106763651699078
"CC019xCC002","X16513x15156","98","DRECHAL","IgG3","SARS","N",0.146264099726969
"CC019xCC002","X16513x15156","18","D29","IgG3","SARS","N",0.169042201080447
"CC019xCC002","X16513x15156","8","D15","IgG3","SARS","N",0.0929018202265442
"CC019xCC002","X16513x15156","98","DRECHAL","IgG2b","SARS","N",0.470315401940137
"CC019xCC002","X16513x15156","86","DRECHAL","IgG2b","SARS","N",1.2296074771071
"CC019xCC002","X16513x15156","9","D29","IgG2b","SARS","N",0.28836849626487
"CC001xCC074","X13140x3015","119","DRECHAL","TotalG","SARS","N",4.24953794481549
"CC019xCC002","X16513x15156","1","D29","IgG2b","SARS","N",0.316133044019731
"CC019xCC002","X16513x15156","8","D15","IgG2b","SARS","N",0.168022430717389
"CC019xCC002","X16513x15156","99","DRECHAL","IgG2ac","SARS","N",0.70045844314837
"CC019xCC002","X16513x15156","86","DRECHAL","IgG2ac","SARS","N",1.08016323178616
"CC019xCC002","X16513x15156","18","D29","IgG2ac","SARS","N",1.10414080106878
"CC019xCC002","X16513x15156","9","D29","IgG2ac","SARS","N",0.697613049642728
"CC019xCC002","X16513x15156","1","D29","IgG2ac","SARS","N",0.589201456241627
"CC019xCC002","X16513x15156","8","D15","IgG2ac","SARS","N",0.0932643237409158
"CC019xCC002","X16513x15156","99","DRECHAL","IgG1","SARS","N",1.86851529008414
"CC019xCC002","X16513x15156","9","D29","IgG1","SARS","N",1.78298597056047
"CC019xCC002","X16513x15156","1","D29","IgG1","SARS","N",0.215048193830946
"CC019xCC002","X16513x15156","8","D15","IgG1","SARS","N",0.119702128283464
"CC019xCC002","X16513x15156","99","DRECHAL","TotalG","SARS","N",2.15285180647101
"CC019xCC002","X16513x15156","98","DRECHAL","TotalG","SARS","N",2.14554460960781
"CC019xCC002","X16513x15156","86","DRECHAL","TotalG","SARS","N",2.04185180647101
"CC019xCC002","X16513x15156","9","D29","TotalG","SARS","N",1.74877672945678
"CC019xCC002","X16513x15156","1","D29","TotalG","SARS","N",0.855898684031303
"CC019xCC002","X16513x15156","99","DRECHAL","IgG3","SARS","S",0.137751218170192
"CC019xCC002","X16513x15156","98","DRECHAL","IgG3","SARS","S",0.0874015962125982
"CC019xCC002","X16513x15156","86","DRECHAL","IgG3","SARS","S",0.239662587557347
"CC019xCC002","X16513x15156","18","D29","IgG3","SARS","S",0.0657154578681343
