"RIX","alias","ID","day","virus","antigen","Ig2A.2C","IgG1","IgG2A.2B","IgG2ac","IgG2b","IgG3","TotalG"
"CC005xCC001","X16211x13140","105","D29","SARS","N",NA,NA,NA,1,NA,NA,2
"CC005xCC001","X16211x13140","105","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC005xCC001","X16211x13140","135","D10","SARS","N",NA,NA,NA,0,NA,NA,2
"CC005xCC001","X16211x13140","135","D10","SARS","S",NA,NA,NA,1,NA,NA,3
"CC005xCC001","X16211x13140","136","D10","SARS","N",NA,NA,NA,0,NA,NA,2
"CC005xCC001","X16211x13140","136","D10","SARS","S",NA,NA,NA,2,NA,NA,1
"CC005xCC001","X16211x13140","137","D10","SARS","N",NA,NA,NA,0,NA,NA,1
"CC005xCC001","X16211x13140","137","D10","SARS","S",NA,NA,NA,2,NA,NA,1
"CC005xCC001","X16211x13140","34","D15","SARS","N",NA,NA,NA,2,NA,NA,3
"CC005xCC001","X16211x13140","34","D15","SARS","S",NA,NA,NA,2,NA,NA,3
"CC005xCC001","X16211x13140","37","D15","SARS","N",NA,NA,NA,1,NA,NA,3
"CC005xCC001","X16211x13140","37","D15","SARS","S",NA,NA,NA,2,NA,NA,3
"CC005xCC001","X16211x13140","38","D15","SARS","N",NA,NA,NA,1,NA,NA,2
"CC005xCC001","X16211x13140","38","D15","SARS","S",NA,NA,NA,2,NA,NA,2
"CC005xCC001","X16211x13140","90","D29","SARS","N",NA,NA,NA,1,NA,NA,2
"CC005xCC001","X16211x13140","90","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC005xCC001","X16211x13140","91","D29","SARS","N",NA,NA,NA,1,NA,NA,2
"CC005xCC001","X16211x13140","91","D29","SARS","S",NA,NA,NA,2,NA,NA,3
"CC005xCC038","X16211x8049","104","D15","SARS","N",NA,NA,NA,2,NA,NA,3
"CC005xCC038","X16211x8049","104","D15","SARS","S",NA,NA,NA,4,NA,NA,4
"CC005xCC038","X16211x8049","105","D15","SARS","N",NA,NA,NA,3,NA,NA,2
"CC005xCC038","X16211x8049","105","D15","SARS","S",NA,NA,NA,4,NA,NA,4
"CC005xCC038","X16211x8049","106","D15","SARS","N",NA,NA,NA,3,NA,NA,4
"CC005xCC038","X16211x8049","106","D15","SARS","S",NA,NA,NA,4,NA,NA,4
"CC005xCC038","X16211x8049","111","DRECHAL","SARS","N",NA,NA,NA,3,NA,NA,4
"CC005xCC038","X16211x8049","111","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,5
"CC005xCC038","X16211x8049","112","DRECHAL","SARS","N",NA,NA,NA,4,NA,NA,1
"CC005xCC038","X16211x8049","112","DRECHAL","SARS","S",NA,NA,NA,5,NA,NA,5
"CC005xCC038","X16211x8049","117","DRECHAL","SARS","N",NA,NA,NA,3,NA,NA,4
"CC005xCC038","X16211x8049","117","DRECHAL","SARS","S",NA,NA,NA,5,NA,NA,5
"CC005xCC038","X16211x8049","78","D29","SARS","N",NA,NA,NA,4,NA,NA,4
"CC005xCC038","X16211x8049","78","D29","SARS","S",NA,NA,NA,5,NA,NA,5
"CC005xCC038","X16211x8049","79","D29","SARS","N",NA,NA,NA,3,NA,NA,4
"CC005xCC038","X16211x8049","79","D29","SARS","S",NA,NA,NA,5,NA,NA,6
"CC005xCC038","X16211x8049","80","D29","SARS","N",NA,NA,NA,3,NA,NA,4
"CC005xCC038","X16211x8049","80","D29","SARS","S",NA,NA,NA,5,NA,NA,5
"CC005xCC040","X16211x16557","10","DRECHAL","SARS","N",NA,NA,NA,1,NA,NA,2
"CC005xCC040","X16211x16557","10","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC005xCC040","X16211x16557","12","DRECHAL","SARS","N",NA,NA,NA,1,NA,NA,2
"CC005xCC040","X16211x16557","12","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,4
"CC005xCC040","X16211x16557","20","D29","SARS","N",NA,NA,NA,1,NA,NA,1
"CC005xCC040","X16211x16557","20","D29","SARS","S",NA,NA,NA,3,NA,NA,3
"CC005xCC040","X16211x16557","21","D15","SARS","N",NA,NA,NA,1,NA,NA,1
"CC005xCC040","X16211x16557","21","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC005xCC040","X16211x16557","22","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC005xCC040","X16211x16557","22","D29","SARS","S",NA,NA,NA,3,NA,NA,3
"CC005xCC040","X16211x16557","23","D29","SARS","N",NA,NA,NA,0,NA,NA,1
"CC005xCC040","X16211x16557","23","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC005xCC040","X16211x16557","29","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC005xCC040","X16211x16557","29","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC005xCC040","X16211x16557","30","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC005xCC040","X16211x16557","30","D15","SARS","S",NA,NA,NA,4,NA,NA,4
"CC005xCC040","X16211x16557","9","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC005xCC040","X16211x16557","9","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,3
"CC006xCC007","X16750x13421","120","D29","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","120","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC007","X16750x13421","135","D29","SARS","N",NA,NA,NA,1,NA,NA,2
"CC006xCC007","X16750x13421","135","D29","SARS","S",NA,NA,NA,4,NA,NA,5
"CC006xCC007","X16750x13421","136","D29","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC007","X16750x13421","136","D29","SARS","S",NA,NA,NA,4,NA,NA,5
"CC006xCC007","X16750x13421","137","D29","SARS","N",NA,NA,NA,1,NA,NA,2
"CC006xCC007","X16750x13421","137","D29","SARS","S",NA,NA,NA,4,NA,NA,5
"CC006xCC007","X16750x13421","151","D10","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC007","X16750x13421","151","D10","SARS","S",NA,NA,NA,2,NA,NA,3
"CC006xCC007","X16750x13421","152","D10","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","152","D10","SARS","S",NA,NA,NA,2,NA,NA,3
"CC006xCC007","X16750x13421","156","D10","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC007","X16750x13421","156","D10","SARS","S",NA,NA,NA,2,NA,NA,3
"CC006xCC007","X16750x13421","160","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","160","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC006xCC007","X16750x13421","161","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC007","X16750x13421","161","DRECHAL","SARS","S",NA,NA,NA,5,NA,NA,4
"CC006xCC007","X16750x13421","163","D10","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","163","D10","SARS","S",NA,NA,NA,2,NA,NA,2
"CC006xCC007","X16750x13421","164","DRECHAL","SARS","N",NA,NA,NA,1,NA,NA,2
"CC006xCC007","X16750x13421","164","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC006xCC007","X16750x13421","167","D10","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC007","X16750x13421","167","D10","SARS","S",NA,NA,NA,2,NA,NA,2
"CC006xCC007","X16750x13421","169","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC007","X16750x13421","169","DRECHAL","SARS","S",NA,NA,NA,2,NA,NA,3
"CC006xCC007","X16750x13421","84","D15","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","84","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC007","X16750x13421","85","D15","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","85","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC007","X16750x13421","86","D15","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","86","D15","SARS","S",NA,NA,NA,4,NA,NA,4
"CC006xCC007","X16750x13421","87","D15","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC007","X16750x13421","87","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC039","X16750x15155","12","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC006xCC039","X16750x15155","12","D29","SARS","S",NA,NA,NA,3,NA,NA,5
"CC006xCC039","X16750x15155","129","D10","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC039","X16750x15155","129","D10","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC039","X16750x15155","130","D10","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC039","X16750x15155","130","D10","SARS","S",NA,NA,NA,2,NA,NA,3
"CC006xCC039","X16750x15155","147","D10","SARS","N",NA,NA,NA,0,NA,NA,0
"CC006xCC039","X16750x15155","147","D10","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC039","X16750x15155","17","D29","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC039","X16750x15155","17","D29","SARS","S",NA,NA,NA,4,NA,NA,5
"CC006xCC039","X16750x15155","18","D29","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC039","X16750x15155","18","D29","SARS","S",NA,NA,NA,4,NA,NA,5
"CC006xCC039","X16750x15155","5","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC039","X16750x15155","5","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC039","X16750x15155","54","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC006xCC039","X16750x15155","54","DRECHAL","SARS","S",NA,NA,NA,5,NA,NA,6
"CC006xCC039","X16750x15155","6","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC039","X16750x15155","6","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC039","X16750x15155","63","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC006xCC039","X16750x15155","63","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,5
"CC006xCC039","X16750x15155","8","D15","SARS","N",NA,NA,NA,0,NA,NA,2
"CC006xCC039","X16750x15155","8","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC006xCC039","X16750x15155","9","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC006xCC039","X16750x15155","9","D15","SARS","S",NA,NA,NA,3,NA,NA,4
