"","RIX","day","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"49","CC008xCC018","d7_d10",5.54436312456567,8.23298326616885,6.5396805240893,6.61164516752622,5.38739983229149,8.84544747084889
"50","CC008xCC018","d10_d15",NA,NA,NA,NA,NA,NA
"51","CC008xCC018","d15_d45",NA,NA,NA,NA,NA,NA
"52","CC009xCC040","d7_d10",5.90944020148115,11.6185005745704,10.0894443345278,7.18844242320441,6.28238135013444,9.31988456588812
"53","CC009xCC040","d10_d15",6.89718627171446,5.61529551506042,5.95372913775767,5.85606372891461,4.45772351372824,7.75336570085186
"54","CC009xCC040","d15_d45",7.23946886067755,6.98393555525786,5.65262021871807,3.3726788016361,4.13364607504495,7.14516833787762
"55","CC010xCC015","d7_d10",4.94389089916923,8.05379451407673,6.8598606929866,5.15140108535377,6.96055797665395,7.57435459981789
"56","CC010xCC015","d10_d15",5.75322525935897,7.04245326971622,7.36219609393926,6.35715805835401,3.89808172802586,6.44036248278041
"57","CC010xCC015","d15_d45",8.99749689907429,6.75683832986145,5.07826264376213,4.1131285986329,4.22451125758148,7.06124136825819
"58","CC011xCC032","d7_d10",5.25352230969104,6.73238168151984,5.8483146204607,5.59516783848182,5.31926661330805,7.7362368793039
"59","CC011xCC032","d10_d15",4.49766451999216,6.49148419248123,5.12983365338161,4.45538641863868,5.32778046095642,5.75901063386843
"60","CC011xCC032","d15_d45",9.33475525105028,9.66004813807906,7.8942769955677,5.39703333824563,5.80360810266808,10.0733997202845
"61","CC011xNA","d7_d10",NA,NA,NA,NA,NA,NA
"62","CC011xNA","d10_d15",NA,NA,NA,NA,NA,NA
"63","CC011xNA","d15_d45",NA,NA,NA,NA,NA,NA
"64","CC012xCC032","d7_d10",5.30602977720001,9.52894886166505,8.56277242182382,7.93279152014504,7.07279856292945,9.76457672968325
"65","CC012xCC032","d10_d15",6.30186139309309,6.82514154327222,7.01405602104161,5.4523012464613,3.35782222547192,8.05290853200296
"66","CC012xCC032","d15_d45",5.31309179525018,7.1816453190608,6.25878844421134,2.95447979100587,4.55422795692314,5.70719544507495
"67","CC012xCC038","d7_d10",6.62678118585754,8.39541574678305,7.55851507093216,5.87396062856372,6.16791192974914,10.2589599818052
"68","CC012xCC038","d10_d15",7.87965187755973,8.22046807276936,6.56911782913532,6.44488089644329,5.17175509223534,7.64486964653022
"69","CC012xCC038","d15_d45",8.56906779179966,7.12199664455213,7.6860237051427,4.08950446674985,2.97015274910829,6.6567312007415
"70","CC013xCC026","d7_d10",NA,NA,NA,NA,NA,NA
"71","CC013xCC026","d10_d15",NA,NA,NA,NA,NA,NA
"72","CC013xCC026","d15_d45",NA,NA,NA,NA,NA,NA
"73","CC013xCC041","d7_d10",5.03075502221212,6.08958716202619,5.76668885154019,5.1349610487839,5.01291572882844,6.74630994629861
"74","CC013xCC041","d10_d15",5.25240219389765,6.23365816444079,5.73721305570131,5.17001067540216,5.01040273526469,6.24956095423555
"75","CC013xCC041","d15_d45",6.30475363145887,8.76872679024674,8.46469332157795,5.50084615450275,4.93417790094481,9.15180386947998
"76","CC014xCC059","d7_d10",NA,NA,NA,NA,NA,NA
"77","CC014xCC059","d10_d15",NA,NA,NA,NA,NA,NA
"78","CC014xCC059","d15_d45",NA,NA,NA,NA,NA,NA
"79","CC015xCC018","d7_d10",5.90647288841889,10.2385417628268,8.43678189167762,8.24113406893582,7.38645775732583,7.97924341720967
