"RIX","ID","RIX_ID","Cohort","Treatment","Day","lowest.day","lowest.weight"
"CC019xCC002","304","16513x15156_304","4_15iv","Influenza",10,7,93.3333333333333
"CC019xCC002","312","16513x15156_312","4_15iv","Influenza",10,3,95.3367875647668
"CC019xCC002","70","16513x15156_70","10_13x","Influenza",15,8,87.8411910669975
"CC019xCC002","71","16513x15156_71","10_13x","Influenza",15,9,87.5722543352601
"CC019xCC002","72","16513x15156_72","10_13x","Influenza",15,9,89.9736147757256
"CC019xCC002","101","16513x15156_101","11_13xi","Influenza",45,7,88.3049242424242
"CC019xCC002","102","16513x15156_102","11_13xi","Influenza",45,1,90.6565656565656
"CC019xCC002","103","16513x15156_103","11_13xi","Influenza",45,3,76.5884652981427
"CC019xCC002","104","16513x15156_104","11_13xi","Influenza",45,8,87.3910814966684
"CC019xCC004","134","16513x16188_134","2_14ii","Influenza",10,8,99.7389033942559
"CC019xCC004","135","16513x16188_135","2_14ii","Influenza",10,9,78.5145888594164
"CC019xCC004","13","16513x16188_13","10_13x","Influenza",15,8,91.9770773638969
"CC019xCC004","14","16513x16188_14","10_13x","Influenza",15,12,77.9614325068871
"CC019xCC004","15","16513x16188_15","10_13x","Influenza",15,11,76.1764705882353
"CC019xCC004","136","16513x16188_136","4_14iv","Influenza",45,9,92.9133858267716
"CC019xCC004","137","16513x16188_137","4_14iv","Influenza",45,7,91.9376391982183
"CC019xCC004","142","16513x16188_142","4_14iv","Influenza",45,9,90.4059040590406
"CC019xCC004","143","16513x16188_143","4_14iv","Influenza",45,9,90.2439024390244
"CC019xCC027","33","16513x8027_33","1_16i","Influenza",10,5,97.5757575757576
"CC019xCC027","43","16513x8027_43","1_16i","Influenza",10,7,101.212121212121
"CC019xCC027","46","16513x8027_46","1_16i","Influenza",10,4,99.4117647058823
"CC019xCC027","52","16513x8027_52","1_16i","Influenza",10,5,100.602409638554
"CC019xCC027","4","16513x8027_4","1_16i","Influenza",15,1,99.4082840236686
