"RIX","ID","RIX_ID","Cohort","Treatment","Day","D1per","D2per","D3per","D4per","D5per","D6per","D7per","D8per","D9per","D10per","D11per","D12per","D13per","D14per","D15per","D45per"
"CC019xCC004","135","16513x16188_135","2_14ii","Influenza","10",99.7347480106101,103.607427055703,106.366047745358,104.137931034483,101.856763925729,94.1644562334217,87.9045092838196,82.4933687002653,78.5145888594164,78.5145888594164,NA,NA,NA,NA,NA,NA
"CC019xCC004","13","16513x16188_13","10_13x","Influenza","15",98.567335243553,96.8481375358166,98.567335243553,96.8481375358166,98.567335243553,96.8481375358166,97.134670487106,91.9770773638969,92.2636103151863,94.5558739255014,98.8538681948424,98.8538681948424,97.9942693409742,101.432664756447,108.022922636103,NA
"CC019xCC004","14","16513x16188_14","10_13x","Influenza","15",98.0716253443526,97.7961432506887,95.5922865013774,92.0110192837466,90.633608815427,88.9807162534435,84.0220385674931,79.8898071625344,79.3388429752066,78.7878787878788,78.236914600551,77.9614325068871,78.5123966942149,82.0936639118457,84.0220385674931,NA
"CC019xCC004","15","16513x16188_15","10_13x","Influenza","15",99.4117647058823,97.0588235294118,98.2352941176471,94.1176470588235,91.7647058823529,88.2352941176471,84.1176470588235,78.8235294117647,77.6470588235294,76.7647058823529,76.1764705882353,76.4705882352941,76.1764705882353,80,82.6470588235294,NA
"CC019xCC004","136","16513x16188_136","4_14iv","Influenza","45",102.362204724409,101.837270341207,101.837270341207,98.6876640419948,98.4251968503937,96.0629921259843,93.3858267716535,93.1758530183727,92.9133858267716,94.1207349081365,94.8031496062992,98.1627296587926,97.1128608923885,98.005249343832,96.8503937007874,116.010498687664
"CC019xCC004","137","16513x16188_137","4_14iv","Influenza","45",97.1046770601336,99.3318485523385,98.8864142538975,97.1046770601336,95.1002227171492,94.4320712694877,91.9376391982183,93.3184855233853,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC004","142","16513x16188_142","4_14iv","Influenza","45",102.793885081708,99.8945703742752,99.103848181339,98.0495519240907,94.6230890880337,93.8323668950975,93.3052187664734,94.3595150237217,90.4059040590406,90.9857670005272,92.5672113863996,94.4649446494465,97.7859778597786,94.3595150237217,94.3595150237217,113.336847654191
"CC019xCC004","143","16513x16188_143","4_14iv","Influenza","45",92.6829268292683,99.7560975609756,98.780487804878,100.975609756098,99.7560975609756,99.5121951219512,93.3658536585366,95.3658536585366,90.2439024390244,91.0731707317073,90.5365853658537,90.5365853658537,92.390243902439,91.3658536585366,91.7073170731707,103.90243902439
"CC019xCC027","24","16513x8027_24","1_16i","Influenza","2",99.4505494505495,98.3516483516484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","25","16513x8027_25","1_16i","Influenza","2",99.4082840236686,96.4497041420119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","37","16513x8027_37","1_16i","Influenza","2",101.960784313725,103.267973856209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","142","16513x8027_142","2_16ii","Influenza","7",110.06711409396,100.671140939597,100.671140939597,99.3288590604027,97.986577181208,97.986577181208,98.6577181208054,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","143","16513x8027_143","2_16ii","Influenza","7",98.1707317073171,97.5609756097561,95.7317073170732,97.5609756097561,97.5609756097561,96.3414634146341,98.780487804878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","148","16513x8027_148","2_16ii","Influenza","7",98.0769230769231,98.0769230769231,92.948717948718,95.5128205128205,96.7948717948718,94.8717948717949,98.0769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","149","16513x8027_149","2_16ii","Influenza","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","150","16513x8027_150","2_16ii","Influenza","7",101.796407185629,101.796407185629,96.4071856287425,97.0059880239521,97.6047904191617,96.4071856287425,101.796407185629,NA,NA,NA,NA,NA,NA,NA,NA,NA
