"RIX","ID","day","virus","cohort","RIX_ID"
"CC039xCC020",94,15,"Mock","9_14ix","15155x8054_94"
"CC039xCC020",17,10,"Influenza","5_14v","15155x8054_17"
"CC039xCC020",33,4,"Mock","6_14vi","15155x8054_33"
"CC039xCC020",113,15,"Influenza","9_14ix","15155x8054_113"
"CC039xCC020",85,45,"Influenza","8_14viii","15155x8054_85"
"CC039xCC020",30,4,"Mock","6_14vi","15155x8054_30"
"CC039xCC020",115,15,"Influenza","9_14ix","15155x8054_115"
"CC039xCC020",16,10,"Influenza","5_14v","15155x8054_16"
"CC039xCC020",26,7,"Influenza","6_14vi","15155x8054_26"
"CC039xCC020",29,4,"Mock","6_14vi","15155x8054_29"
"CC039xCC020",19,2,"Mock","5_14v","15155x8054_19"
"CC039xCC020",114,15,"Influenza","9_14ix","15155x8054_114"
"CC039xCC020",3,2,"Influenza","5_14v","15155x8054_3"
"CC039xCC020",111,15,"Influenza","9_14ix","15155x8054_111"
"CC039xCC020",18,2,"Mock","5_14v","15155x8054_18"
"CC039xCC020",10,10,"Influenza","5_14v","15155x8054_10"
"CC039xCC020",112,15,"Influenza","9_14ix","15155x8054_112"
"CC039xCC020",27,7,"Influenza","6_14vi","15155x8054_27"
"CC039xCC020",9,2,"Influenza","5_14v","15155x8054_9"
"CC039xCC020",95,45,"Influenza","8_14viii","15155x8054_95"
"CC039xCC020",20,2,"Mock","5_14v","15155x8054_20"
"CC039xCC020",1,2,"Influenza","5_14v","15155x8054_1"
"CC039xCC020",75,45,"Influenza","8_14viii","15155x8054_75"
"CC039xCC020",28,7,"Influenza","6_14vi","15155x8054_28"
"CC039xCC020",2,2,"Influenza","5_14v","15155x8054_2"
"CC002xCC021",211,15,"Influenza","3_13iii","15156x1566_211"
"CC002xCC021",120,2,"Influenza","1_13i","15156x1566_120"
"CC002xCC021",174,15,"Influenza","2_13ii","15156x1566_174"
"CC002xCC021",195,10,"Influenza","3_13iii","15156x1566_195"
"CC002xCC021",121,2,"Influenza","1_13i","15156x1566_121"
"CC002xCC021",157,4,"Influenza","2_13ii","15156x1566_157"
"CC002xCC021",203,15,"Mock","3_13iii","15156x1566_203"
"CC002xCC021",229,1,"Influenza","4_13iv","15156x1566_229"
"CC002xCC021",185,15,"Influenza","2_13ii","15156x1566_185"
"CC002xCC021",169,15,"Mock","2_13ii","15156x1566_169"
"CC002xCC021",200,10,"Influenza","3_13iii","15156x1566_200"
"CC002xCC021",228,1,"Influenza","4_13iv","15156x1566_228"
"CC002xCC021",227,1,"Mock","4_13iv","15156x1566_227"
"CC002xCC021",168,45,"Influenza","2_13ii","15156x1566_168"
"CC002xCC021",179,15,"Mock","2_13ii","15156x1566_179"
"CC002xCC021",240,1,"Mock","4_13iv","15156x1566_240"
"CC002xCC021",122,7,"Mock","1_13i","15156x1566_122"
"CC002xCC021",202,15,"Influenza","3_13iii","15156x1566_202"
"CC002xCC021",123,7,"Mock","1_13i","15156x1566_123"
"CC002xCC021",140,2,"Influenza","1_13i","15156x1566_140"
"CC002xCC021",242,1,"Influenza","4_13iv","15156x1566_242"
"CC002xCC021",171,4,"Influenza","2_13ii","15156x1566_171"
"CC002xCC021",164,4,"Influenza","2_13ii","15156x1566_164"
"CC002xCC021",141,7,"Influenza","1_13i","15156x1566_141"
"CC002xCC021",139,7,"Influenza","1_13i","15156x1566_139"
"CC002xCC021",124,7,"Influenza","1_13i","15156x1566_124"
"CC002xCC021",201,15,"Influenza","3_13iii","15156x1566_201"
"CC002xCC021",153,2,"Mock","1_13i","15156x1566_153"
"CC002xCC021",117,2,"Influenza","1_13i","15156x1566_117"
"CC002xCC021",152,2,"Mock","1_13i","15156x1566_152"
"CC002xCC021",151,2,"Mock","1_13i","15156x1566_151"
"CC002xCC021",199,10,"Influenza","3_13iii","15156x1566_199"
"CC002xCC021",214,15,"Mock","3_13iii","15156x1566_214"
"CC002xCC021",241,1,"Mock","4_13iv","15156x1566_241"
"CC002xCC021",184,15,"Mock","2_13ii","15156x1566_184"
"CC002xCC021",118,7,"Mock","1_13i","15156x1566_118"
"CC002xCC021",218,15,"Mock","3_13iii","15156x1566_218"
"CC002xCC021",178,45,"Influenza","2_13ii","15156x1566_178"
"CC002xCC021",125,7,"Influenza","1_13i","15156x1566_125"
"CC002xCC021",170,15,"Influenza","2_13ii","15156x1566_170"
"CC002xCC021",163,45,"Influenza","2_13ii","15156x1566_163"
"CC002xCC011",38,NA,NA,"10_13x","15156x3252_38"
"CC002xCC011",39,NA,NA,"10_13x","15156x3252_39"
"CC002xCC011",40,NA,NA,"10_13x","15156x3252_40"
"CC002xCC011",42,NA,NA,"10_13x","15156x3252_42"
"CC002xCC011",68,NA,NA,"10_13x","15156x3252_68"
"CC002xCC011",69,NA,NA,"10_13x","15156x3252_69"
"CC002xCC011",66,2,"Influenza","10_13x","15156x3252_66"
"CC002xCC011",50,15,"Mock","10_13x","15156x3252_50"
"CC002xCC011",48,7,"Influenza","10_13x","15156x3252_48"
"CC002xCC011",49,10,"Influenza","10_13x","15156x3252_49"
"CC002xCC011",67,2,"Influenza","10_13x","15156x3252_67"
"CC002xCC011",37,7,"Influenza","10_13x","15156x3252_37"
"CC002xCC011",36,2,"Influenza","10_13x","15156x3252_36"
"CC002xCC011",56,15,"Influenza","10_13x","15156x3252_56"
"CC002xCC011",52,4,"Influenza","10_13x","15156x3252_52"
"CC002xCC011",29,2,"Mock","10_13x","15156x3252_29"
"CC002xCC011",51,7,"Influenza","10_13x","15156x3252_51"
"CC002xCC011",41,4,"Influenza","10_13x","15156x3252_41"
"CC002xCC011",34,10,"Influenza","10_13x","15156x3252_34"
"CC002xCC011",7,45,"Influenza","10_13x","15156x3252_7"
"CC002xCC011",11,15,"Influenza","10_13x","15156x3252_11"
"CC002xCC011",6,45,"Influenza","10_13x","15156x3252_6"
"CC002xCC011",13,45,"Influenza","10_13x","15156x3252_13"
"CC002xCC011",59,45,"Influenza","10_13x","15156x3252_59"
"CC002xCC011",32,15,"Influenza","10_13x","15156x3252_32"
"CC002xCC011",28,4,"Mock","10_13x","15156x3252_28"
"CC002xCC011",20,10,"Influenza","10_13x","15156x3252_20"
"CC002xCC011",21,15,"Mock","10_13x","15156x3252_21"
"CC002xCC011",12,4,"Mock","10_13x","15156x3252_12"
"CC002xCC011",57,4,"Mock","10_13x","15156x3252_57"
"CC002xCC011",22,15,"Mock","10_13x","15156x3252_22"
"CC002xCC011",65,4,"Influenza","10_13x","15156x3252_65"
"CC002xCC011",15,2,"Mock","10_13x","15156x3252_15"
"CC002xCC011",58,45,"Influenza","10_13x","15156x3252_58"
"CC002xCC011",23,7,"Influenza","10_13x","15156x3252_23"
"CC002xCC011",14,2,"Mock","10_13x","15156x3252_14"
"CC021xCC032",38,15,"Mock","1_13i","1566x8002_38"
"CC021xCC032",37,15,"Influenza","1_13i","1566x8002_37"
"CC021xCC032",42,15,"Mock","1_13i","1566x8002_42"
"CC021xCC032",41,15,"Influenza","1_13i","1566x8002_41"
"CC021xCC032",36,15,"Influenza","1_13i","1566x8002_36"
"CC021xCC032",33,15,"Mock","1_13i","1566x8002_33"
"CC021xCC032",2,4,"Influenza","10_12i","1566x8002_2"
"CC021xCC032",1,4,"Influenza","10_12i","1566x8002_1"
"CC021xCC032",6,4,"Influenza","10_12i","1566x8002_6"
"CC021xCC023",31,7,"Influenza","6_14vi","1566x8043_31"
"CC021xCC023",40,10,"Influenza","6_14vi","1566x8043_40"
"CC021xCC023",35,7,"Influenza","6_14vi","1566x8043_35"
"CC021xCC023",2,4,"Influenza","6_14vi","1566x8043_2"
"CC021xCC023",32,10,"Influenza","6_14vi","1566x8043_32"
"CC021xCC023",78,15,"Influenza","7_14vii","1566x8043_78"
"CC021xCC023",80,15,"Influenza","7_14vii","1566x8043_80"
"CC021xCC023",12,4,"Mock","6_14vi","1566x8043_12"
"CC021xCC023",24,45,"Influenza","6_14vi","1566x8043_24"
"CC021xCC023",33,4,"Mock","6_14vi","1566x8043_33"
"CC021xCC023",9,2,"Influenza","6_14vi","1566x8043_9"
"CC021xCC023",26,45,"Influenza","6_14vi","1566x8043_26"
"CC021xCC023",7,2,"Influenza","6_14vi","1566x8043_7"
"CC021xCC023",1,2,"Mock","6_14vi","1566x8043_1"
"CC021xCC023",34,7,"Influenza","6_14vi","1566x8043_34"
"CC021xCC023",25,45,"Influenza","6_14vi","1566x8043_25"
"CC021xCC023",3,4,"Influenza","6_14vi","1566x8043_3"
"CC021xCC023",79,15,"Influenza","7_14vii","1566x8043_79"
"CC021xCC023",10,2,"Mock","6_14vi","1566x8043_10"
