"RIX","ID","day","dam","sire","isotype","antigen_virus","antigen","assay_date","virus","cohort","RIX_ID","AUC"
"CC001xCC074","179","10","13140","3015","IgG2b","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_179",0.707756538878852
"CC001xCC074","179","10","13140","3015","IgG2ac","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_179",1.53815480269528
"CC001xCC074","179","10","13140","3015","IgM","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_179",0.907370932605252
"CC001xCC074","179","10","13140","3015","IgG3","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_179",0.191058191019447
"CC001xCC074","179","10","13140","3015","IgG1","Influenza","HA","2013_12_17","Influenza","3_13iii","13140x3015_179",0.116267656137083
"CC001xCC074","180","10","13140","3015","IgG1","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_180",0.994111929572998
"CC001xCC074","180","10","13140","3015","IgG2ac","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_180",2.74406816039493
"CC001xCC074","180","10","13140","3015","IgG2ac","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_180",2.48613590057499
"CC001xCC074","180","10","13140","3015","IgG3","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_180",0.389070848562281
"CC001xCC074","180","10","13140","3015","TotalG","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_180",3.88738090198074
"CC001xCC074","180","10","13140","3015","IgM","Influenza","HA","2013_11_26","Influenza","3_13iii","13140x3015_180",0.567246989718242
"CC002xCC011","11","15","15156","3252","TotalG","Influenza","HA","2017_07_19","Influenza","10_13x","15156x3252_11",3.81079227136789
"CC002xCC011","11","15","15156","3252","IgG2b","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_11",2.25165855530632
"CC002xCC011","11","15","15156","3252","IgM","Influenza","HA","2017_07_19","Influenza","10_13x","15156x3252_11",0.378443797293045
"CC002xCC011","11","15","15156","3252","TotalG","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_11",4.63273606866093
"CC002xCC011","11","15","15156","3252","IgG3","Influenza","HA","2017_07_19","Influenza","10_13x","15156x3252_11",0.377521982689497
"CC002xCC011","11","15","15156","3252","IgG2ac","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_11",3.70281447807133
"CC002xCC011","11","15","15156","3252","IgG2ac","Influenza","HA","2017_07_19","Influenza","10_13x","15156x3252_11",4.51631515011317
"CC002xCC011","11","15","15156","3252","IgG3","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_11",0.687478661539321
"CC002xCC011","11","15","15156","3252","IgG2b","Influenza","HA","2017_07_19","Influenza","10_13x","15156x3252_11",0.854668132279952
"CC002xCC011","11","15","15156","3252","IgG1","Influenza","HA","2017_07_19","Influenza","10_13x","15156x3252_11",1.47366079544578
"CC002xCC011","11","15","15156","3252","IgG1","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_11",0.567459563218103
"CC002xCC011","11","15","15156","3252","IgM","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_11",0.0380979557595105
"CC002xCC011","13","45","15156","3252","IgG2b","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_13",5.32222363513205
"CC002xCC011","13","45","15156","3252","IgG3","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_13",0.707243881336019
"CC002xCC011","13","45","15156","3252","IgG1","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_13",1.44095533476615
"CC002xCC011","13","45","15156","3252","IgM","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_13",0.0366339400755145
"CC002xCC011","13","45","15156","3252","TotalG","Influenza","HA","2014_01_17","Influenza","10_13x","15156x3252_13",6.86427605741496
"CC002xCC011","13","45","15156","3252","IgG2ac","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_13",6.87078893897172
"CC002xCC011","20","10","15156","3252","IgG1","Influenza","HA","2014_04_22","Influenza","10_13x","15156x3252_20",0.0766632595991837
"CC002xCC011","20","10","15156","3252","IgG2ac","Influenza","HA","2014_04_22","Influenza","10_13x","15156x3252_20",5.91059235541086
"CC002xCC011","20","10","15156","3252","IgG3","Influenza","HA","2014_04_22","Influenza","10_13x","15156x3252_20",0.372698571873349
"CC002xCC011","20","10","15156","3252","TotalG","Influenza","HA","2014_01_17","Influenza","10_13x","15156x3252_20",3.97515233854188
"CC002xCC011","20","10","15156","3252","IgG2b","Influenza","HA","2014_04_22","Influenza","10_13x","15156x3252_20",5.00088977909951
"CC002xCC011","20","10","15156","3252","IgM","Influenza","HA","2014_04_22","Influenza","10_13x","15156x3252_20",1.51830828911991
"CC002xCC011","32","15","15156","3252","IgG3","Influenza","HA","2014_05_06","Influenza","10_13x","15156x3252_32",3.12361190175998
"CC002xCC011","32","15","15156","3252","IgG2ac","Influenza","HA","2014_05_06","Influenza","10_13x","15156x3252_32",3.74875894740622
"CC002xCC011","32","15","15156","3252","IgM","Influenza","HA","2014_05_06","Influenza","10_13x","15156x3252_32",0.165584626174839
"CC002xCC011","32","15","15156","3252","IgG2b","Influenza","HA","2014_05_06","Influenza","10_13x","15156x3252_32",2.04359725590466
"CC002xCC011","32","15","15156","3252","TotalG","Influenza","HA","2014_05_06","Influenza","10_13x","15156x3252_32",5.28581447807133
"CC002xCC011","32","15","15156","3252","IgG1","Influenza","HA","2014_05_06","Influenza","10_13x","15156x3252_32",0.517181909892513
"CC002xCC011","34","10","15156","3252","TotalG","Influenza","HA","2014_01_17","Influenza","10_13x","15156x3252_34",0.550822514760364
"CC002xCC011","34","10","15156","3252","IgG3","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_34",0.416067740180057
"CC002xCC011","34","10","15156","3252","IgM","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_34",0.252208569061853
"CC002xCC011","34","10","15156","3252","IgG2b","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_34",0.282224783014796
"CC002xCC011","34","10","15156","3252","IgG2ac","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_34",1.35996465991281
"CC002xCC011","34","10","15156","3252","IgG1","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_34",0.0385293195236694
"CC002xCC011","34","10","15156","3252","IgG2ac","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_34",2.20323875682829
"CC002xCC011","34","10","15156","3252","IgG3","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_34",0.595462671600321
"CC002xCC011","34","10","15156","3252","IgG1","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_34",0.0386894707406317
"CC002xCC011","34","10","15156","3252","IgG2b","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_34",0.296682357920404
"CC002xCC011","34","10","15156","3252","IgM","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_34",0.345342285123424
"CC002xCC011","49","10","15156","3252","IgG2ac","Influenza","HA","2014_01_04","Influenza","10_13x","15156x3252_49",0.209440688910824
"CC002xCC011","49","10","15156","3252","IgG3","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_49",0.312548193830944
"CC002xCC011","49","10","15156","3252","TotalG","Influenza","HA","2014_01_17","Influenza","10_13x","15156x3252_49",0.296113721684564
"CC002xCC011","49","10","15156","3252","IgG2b","Influenza","HA","2014_01_04","Influenza","10_13x","15156x3252_49",0.331754102538468
"CC002xCC011","49","10","15156","3252","IgM","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_49",0.196600840127787
"CC002xCC011","49","10","15156","3252","IgM","Influenza","HA","2014_01_04","Influenza","10_13x","15156x3252_49",0.0949082610049322
"CC002xCC011","49","10","15156","3252","IgG1","Influenza","HA","2014_01_04","Influenza","10_13x","15156x3252_49",0.531472668788824
"CC002xCC011","49","10","15156","3252","IgG2ac","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_49",0.189310081231475
"CC002xCC011","49","10","15156","3252","IgG1","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_49",0.332005768736551
"CC002xCC011","49","10","15156","3252","IgG2b","Influenza","HA","2014_04_15","Influenza","10_13x","15156x3252_49",0.364766984095247
"CC002xCC011","49","10","15156","3252","IgG3","Influenza","HA","2014_01_04","Influenza","10_13x","15156x3252_49",0.296433576090597
"CC002xCC011","56","15","15156","3252","IgG2b","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_56",3.66256614426942
"CC002xCC011","56","15","15156","3252","TotalG","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_56",5.51286023556188
"CC002xCC011","56","15","15156","3252","IgG2ac","Influenza","HA","2017_07_10","Influenza","10_13x","15156x3252_56",3.79647530133013
"CC002xCC011","56","15","15156","3252","IgG2b","Influenza","HA","2017_07_10","Influenza","10_13x","15156x3252_56",1.19324564563457
"CC002xCC011","56","15","15156","3252","IgG2ac","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_56",4.25774584183549
"CC002xCC011","56","15","15156","3252","IgM","Influenza","HA","2017_07_10","Influenza","10_13x","15156x3252_56",0.451910697345317
"CC002xCC011","56","15","15156","3252","IgG1","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_56",0.965851162242195
"CC002xCC011","56","15","15156","3252","TotalG","Influenza","HA","2017_07_10","Influenza","10_13x","15156x3252_56",3.7087138619575
"CC002xCC011","56","15","15156","3252","IgG3","Influenza","HA","2017_07_10","Influenza","10_13x","15156x3252_56",0.675135480360113
"CC002xCC011","56","15","15156","3252","IgG1","Influenza","HA","2017_07_10","Influenza","10_13x","15156x3252_56",1.38220966131855
"CC002xCC011","56","15","15156","3252","IgM","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_56",0.0772514421841379
"CC002xCC011","56","15","15156","3252","IgG3","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_56",1.45356171961654
"CC002xCC011","58","45","15156","3252","IgG1","Influenza","HA","2013_12_03","Influenza","10_13x","15156x3252_58",5.85936113161768
"CC002xCC011","58","45","15156","3252","IgM","Influenza","HA","2013_12_03","Influenza","10_13x","15156x3252_58",0.0389378045425481
"CC002xCC011","58","45","15156","3252","TotalG","Influenza","HA","2013_12_12","Influenza","10_13x","15156x3252_58",7.63104266781595
"CC002xCC011","58","45","15156","3252","TotalG","Influenza","HA","2013_12_12","Influenza","10_13x","15156x3252_58",8.4293874474601
"CC002xCC011","58","45","15156","3252","IgG3","Influenza","HA","2013_12_03","Influenza","10_13x","15156x3252_58",1.34773942887012
"CC002xCC011","58","45","15156","3252","IgG2ac","Influenza","HA","2013_12_03","Influenza","10_13x","15156x3252_58",7.22130870933478
"CC002xCC011","58","45","15156","3252","TotalG","Influenza","HA","2013_12_12","Influenza","10_13x","15156x3252_58",8.05945232348465
"CC002xCC011","58","45","15156","3252","IgG2b","Influenza","HA","2013_12_03","Influenza","10_13x","15156x3252_58",7.25342310306119
