"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","halfmax","last_positive"
"CC002xCC011","20","15156x3252_20","10","Influenza","10_13x","IgG1","Flu","HA","2014_04_22",0,0
"CC002xCC011","20","15156x3252_20","10","Influenza","10_13x","IgG2ac","Flu","HA","2014_04_22",3,6
"CC002xCC011","20","15156x3252_20","10","Influenza","10_13x","IgG2b","Flu","HA","2014_04_22",3,5
"CC002xCC011","20","15156x3252_20","10","Influenza","10_13x","IgG3","Flu","HA","2014_04_22",0,2
"CC002xCC011","20","15156x3252_20","10","Influenza","10_13x","IgM","Flu","HA","2014_04_22",0,2
"CC002xCC011","20","15156x3252_20","10","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",3,5
"CC002xCC011","23","15156x3252_23","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,0
"CC002xCC011","23","15156x3252_23","7","Influenza","10_13x","TotalG","Flu","HA.1","2014_01_17",0,0
"CC002xCC011","32","15156x3252_32","15","Influenza","10_13x","IgG1","Flu","HA","2014_05_20",0,2
"CC002xCC011","32","15156x3252_32","15","Influenza","10_13x","IgG2ac","Flu","HA","2014_05_20",2,5
"CC002xCC011","32","15156x3252_32","15","Influenza","10_13x","IgG2b","Flu","HA","2014_05_20",1,4
"CC002xCC011","32","15156x3252_32","15","Influenza","10_13x","IgG3","Flu","HA","2014_05_20",2,4
"CC002xCC011","32","15156x3252_32","15","Influenza","10_13x","IgM","Flu","HA","2014_05_20",0,1
"CC002xCC011","32","15156x3252_32","15","Influenza","10_13x","TotalG","Flu","HA","2014_05_20",3,5
"CC002xCC011","34","15156x3252_34","10","Influenza","10_13x","IgG1","Flu","HA","2014_04_15",0,0
"CC002xCC011","34","15156x3252_34","10","Influenza","10_13x","IgG2ac","Flu","HA","2014_04_15",3,4
"CC002xCC011","34","15156x3252_34","10","Influenza","10_13x","IgG2b","Flu","HA","2014_04_15",0,1
"CC002xCC011","34","15156x3252_34","10","Influenza","10_13x","IgG3","Flu","HA","2014_04_15",0,2
"CC002xCC011","34","15156x3252_34","10","Influenza","10_13x","IgM","Flu","HA","2014_04_15",0,2
"CC002xCC011","34","15156x3252_34","10","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,3
"CC002xCC011","37","15156x3252_37","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,0
"CC002xCC011","37","15156x3252_37","7","Influenza","10_13x","TotalG","Flu","HA.1","2014_01_17",0,1
"CC002xCC011","48","15156x3252_48","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,0
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG1","Flu","HA","2014_04_15",0,2
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG1","Flu","HA.1","2014_01_13",0,2
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG2ac","Flu","HA","2014_04_15",0,1
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG2ac","Flu","HA.1","2014_01_13",0,1
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG2b","Flu","HA","2014_04_15",0,2
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG2b","Flu","HA.1","2014_01_13",0,2
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG3","Flu","HA","2014_04_15",0,1
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgG3","Flu","HA.1","2014_01_13",0,1
