RI.StrainID,Animal.ID,Sex,IgM_ug,Total.IgG_ug,IgG1_ug,IgG2a_ug,IgG2b_ug,IgG2c_ug,IgG3_ug,IgA_ug,IgG2ac_ug
CC071.TauUnc,3765,Female,2.357363031,0.274388796,1.958085849,2.384532615,2.016615548,NA,1.460897843,2.080987047,2.384775499
CC051.TauUnc,5554,Female,2.760874638,0.121559844,2.591954555,2.039414119,1.644438589,NA,2.27485032,2.404491618,2.039461816
CC051.TauUnc,5578,Female,2.752893155,NA,2.893706293,1.633468456,1.488550717,NA,2.285782274,2.286680969,1.633125267
CC051.TauUnc,5638,Female,3.02341709,0.659440782,3.162862993,3.023705043,1.894316063,NA,1.87909588,2.721810615,3.023728604
CC051.TauUnc,5639,Female,2.635885685,NA,2.527501011,1.716837723,1.604226053,NA,1.631443769,2.570893036,1.717038497
CC051.TauUnc,6131,Female,2.720324717,0.29136885,2.747489492,1.969415912,1.77815125,NA,1.658011397,2.561816664,1.969350894
CC051.TauUnc,6137,Female,2.340245762,0.158060794,2.694166296,1.902002891,1.775974331,NA,1.605305046,2.249931757,1.902225493
CC010.GeniUnc,3479,Female,2.528788192,1.717137708,2.289365952,2.72123337,1.534026106,NA,1.28780173,2.607990859,2.721307741
CC010.GeniUnc,3480,Female,2.724767246,0.615002615,2.571475904,2.895753942,1.752816431,NA,2.200303183,2.715836275,2.895874986
CC042.GeniUnc,4434,Female,2.537315273,1.456138197,3.769340395,2.764549719,2.478277832,NA,2.252853031,1.906335042,2.764608595
CC042.GeniUnc,4435,Female,2.523226042,0.552668216,3.224610747,1.773054693,1.173186268,NA,2.071513805,1.609594409,1.77284853
