"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC013xCC026","33","45","Influenza","HA","4_16iv","2016_12_09",2.23606797749979,49,25,2,-Inf,64
"CC013xCC026","33","45","Influenza","HA.1","4_16iv","2016_12_23",2.23606797749979,49,36,2.23606797749979,-Inf,64
"CC013xCC026","34","45","Influenza","HA","4_16iv","2016_12_09",2.64575131106459,49,49,2.23606797749979,0,64
"CC013xCC026","34","45","Influenza","HA.1","4_16iv","2016_12_23",2.64575131106459,49,49,2.23606797749979,0,64
"CC013xCC026","37","45","Influenza","HA","4_16iv","2016_12_09",2.44948974278318,49,25,2,-Inf,49
"CC013xCC026","37","45","Influenza","HA.1","4_16iv","2016_12_23",2.44948974278318,49,25,2.23606797749979,-Inf,64
"CC013xCC026","38","45","Influenza","HA","4_16iv","2016_12_09",2,49,36,1.4142135623731,0,64
"CC013xCC026","38","45","Influenza","HA.1","4_16iv","2016_12_23",2,49,36,1.73205080756888,-Inf,64
"CC013xCC041","124","45","Influenza","HA","1_14i","2014_08_12",0,49,36,0,-Inf,49
"CC013xCC041","125","45","Influenza","HA","1_14i","2014_08_12",1,36,36,1.73205080756888,-Inf,49
"CC013xCC041","126","45","Influenza","HA","1_14i","2014_08_12",0,49,36,0,-Inf,64
"CC013xCC041","311","45","Influenza","HA","7_15vii","2016_12_14",2,49,25,1.4142135623731,NA,64
"CC013xCC041","312","45","Influenza","HA","7_15vii","2016_12_14",2.44948974278318,49,36,2.23606797749979,NA,64
"CC013xCC041","316","45","Influenza","HA","7_15vii","2016_12_14",2,16,16,1.4142135623731,NA,36
"CC015xCC018","138","45","Influenza","HA","2_14ii","2015_04_28",2.82842712474619,64,64,2.82842712474619,-Inf,64
"CC015xCC018","139","45","Influenza","HA","2_14ii","2015_04_28",2.82842712474619,64,49,2.44948974278318,-Inf,64
"CC015xCC059","75","45","Influenza","HA","7_15vii","2016_12_14",2.64575131106459,64,36,2,NA,64
"CC016xCC038","104","45","Influenza","HA","8_14viii","2015_11_16",2.23606797749979,64,49,2.44948974278318,0.301029995663981,64
"CC016xCC038","105","45","Influenza","HA","8_14viii","2015_11_16",2.82842712474619,64,64,2.82842712474619,0,64
"CC016xCC038","126","45","Influenza","HA","8_14viii","2015_11_16",2.64575131106459,64,64,2.64575131106459,-Inf,64
"CC016xCC038","127","45","Influenza","HA","8_14viii","2015_11_16",2.64575131106459,64,64,2.44948974278318,0,64
"CC016xCC038","128","45","Influenza","HA","8_14viii","2015_11_16",2.64575131106459,64,64,2.82842712474619,0.477121254719662,1
