"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","AUC"
"CC026xCC034","28","8026x5080_28","45","Influenza","1_14i","TotalG","Flu","HA","2014_08_12",9.19167432123138
"CC026xCC034","28","8026x5080_28","45","Influenza","1_14i","IgG3","Flu","HA","2014_08_12",3.94670476082478
"CC026xCC034","29","8026x5080_29","45","Influenza","1_14i","IgG1","Flu","HA","2014_08_12",1.70153441621838
"CC026xCC034","29","8026x5080_29","45","Influenza","1_14i","IgM","Flu","HA","2014_08_12",0.0561534864246275
"CC026xCC034","29","8026x5080_29","45","Influenza","1_14i","IgG3","Flu","HA","2014_08_12",0.710302744397305
"CC026xCC034","29","8026x5080_29","45","Influenza","1_14i","IgG2b","Flu","HA","2014_08_12",3.62381893053723
"CC026xCC034","29","8026x5080_29","45","Influenza","1_14i","TotalG","Flu","HA","2014_08_12",9.46323629267489
"CC026xCC034","29","8026x5080_29","45","Influenza","1_14i","IgG2ac","Flu","HA","2014_08_12",8.84549773204753
"CC026xCC034","33","8026x5080_33","45","Influenza","1_14i","IgG2b","Flu","HA","2014_08_12",4.33010324865515
"CC026xCC034","33","8026x5080_33","45","Influenza","1_14i","IgM","Flu","HA","2014_08_12",0.0543462895614263
"CC026xCC034","33","8026x5080_33","45","Influenza","1_14i","IgG3","Flu","HA","2014_08_12",0.266084626174841
"CC026xCC034","33","8026x5080_33","45","Influenza","1_14i","IgG2ac","Flu","HA","2014_08_12",8.24626939262262
"CC026xCC034","33","8026x5080_33","45","Influenza","1_14i","IgG1","Flu","HA","2014_08_12",1.4883711566192
"CC026xCC034","33","8026x5080_33","45","Influenza","1_14i","TotalG","Flu","HA","2014_08_12",8.81759280343875
"CC026xCC034","34","8026x5080_34","45","Influenza","1_14i","IgM","Flu","HA","2014_08_12",0.0668789414812636
"CC026xCC034","34","8026x5080_34","45","Influenza","1_14i","IgG2b","Flu","HA","2014_08_12",3.20931050144635
"CC026xCC034","34","8026x5080_34","45","Influenza","1_14i","IgG1","Flu","HA","2014_08_12",1.30165569875107
"CC026xCC034","34","8026x5080_34","45","Influenza","1_14i","TotalG","Flu","HA","2014_08_12",8.76111568218404
"CC026xCC034","34","8026x5080_34","45","Influenza","1_14i","IgG2ac","Flu","HA","2014_08_12",8.2594686365378
"CC026xCC034","34","8026x5080_34","45","Influenza","1_14i","IgG3","Flu","HA","2014_08_12",2.04364836191689
"CC026xCC034","49","8026x5080_49","15","Influenza","2_14ii","IgG2b","Flu","HA","2014_08_12",2.6907218708335
"CC026xCC034","49","8026x5080_49","15","Influenza","2_14ii","IgM","Flu","HA","2014_08_12",0.259460235259937
"CC026xCC034","49","8026x5080_49","15","Influenza","2_14ii","IgG1","Flu","HA","2014_08_12",0.38413682444379
"CC026xCC034","49","8026x5080_49","15","Influenza","2_14ii","IgG2ac","Flu","HA","2014_08_12",5.06204416157992
"CC026xCC034","49","8026x5080_49","15","Influenza","2_14ii","TotalG","Flu","HA","2014_08_12",5.53044287342424
"CC026xCC034","49","8026x5080_49","15","Influenza","2_14ii","IgG3","Flu","HA","2014_08_12",1.74574208922445
"CC026xCC034","52","8026x5080_52","15","Influenza","2_14ii","IgG2ac","Flu","HA","2014_08_12",5.835723859146
"CC026xCC034","52","8026x5080_52","15","Influenza","2_14ii","IgG1","Flu","HA","2014_08_12",1.11030585277952
"CC026xCC034","52","8026x5080_52","15","Influenza","2_14ii","IgG3","Flu","HA","2014_08_12",0.221326519198368
"CC026xCC034","52","8026x5080_52","15","Influenza","2_14ii","TotalG","Flu","HA","2014_08_12",6.10596241977335
"CC026xCC034","52","8026x5080_52","15","Influenza","2_14ii","IgM","Flu","HA","2014_08_12",0.155633492047623
"CC026xCC034","52","8026x5080_52","15","Influenza","2_14ii","IgG2b","Flu","HA","2014_08_12",1.28304396537899
"CC026xCC034","53","8026x5080_53","15","Influenza","2_14ii","IgG3","Flu","HA","2014_08_12",1.71195754709259
"CC026xCC034","53","8026x5080_53","15","Influenza","2_14ii","IgG1","Flu","HA","2014_08_12",0.657832511948866
"CC026xCC034","53","8026x5080_53","15","Influenza","2_14ii","TotalG","Flu","HA","2014_08_12",5.07778272220728
"CC026xCC034","53","8026x5080_53","15","Influenza","2_14ii","IgG2ac","Flu","HA","2014_08_12",4.52013900895721
"CC026xCC034","53","8026x5080_53","15","Influenza","2_14ii","IgG2b","Flu","HA","2014_08_12",1.09748176992154
"CC026xCC034","53","8026x5080_53","15","Influenza","2_14ii","IgM","Flu","HA","2014_08_12",0.401254102538467
"CC026xCC034","7","8026x5080_7","7","Influenza","1_14i","IgG3","Flu","HA","2014_05_20",1.87254816601793
"CC026xCC034","7","8026x5080_7","7","Influenza","1_14i","IgG2b","Flu","HA","2014_05_20",0.137954018495493
"CC026xCC034","7","8026x5080_7","7","Influenza","1_14i","TotalG","Flu","HA","2014_05_20",2.22795399068247
"CC026xCC034","7","8026x5080_7","7","Influenza","1_14i","IgM","Flu","HA","2014_05_20",0.309146373604403
"CC026xCC034","7","8026x5080_7","7","Influenza","1_14i","IgG1","Flu","HA","2014_05_20",0.0491894707406321
"CC026xCC034","7","8026x5080_7","7","Influenza","1_14i","IgG2ac","Flu","HA","2014_05_20",0.843661915515509
"CC027xCC036","48","8027x477_48","10","Influenza","2_16ii","IgM","FLU","HA","2016_10_10",0.16603886868428
"CC027xCC036","48","8027x477_48","10","Influenza","2_16ii","IgG2b","FLU","HA","2016_10_10",2.94542399911697
"CC027xCC036","48","8027x477_48","10","Influenza","2_16ii","IgG3","FLU","HA","2016_10_10",0.146780761707807
"CC027xCC036","48","8027x477_48","10","Influenza","2_16ii","IgG2ac","FLU","HA","2016_10_10",5.27805726715064
"CC027xCC036","48","8027x477_48","10","Influenza","2_16ii","TotalG","FLU","HA","2016_10_10",5.84689711593369
"CC027xCC036","48","8027x477_48","10","Influenza","2_16ii","IgG1","FLU","HA","2016_10_10",0.79516880432179
"CC027xCC036","54","8027x477_54","10","Influenza","2_16ii","TotalG","Flu","HA","2016_11_25",0.938438896799257
"CC027xCC036","54","8027x477_54","10","Influenza","2_16ii","IgG2ac","Flu","HA","2016_11_25",0.653589946883501
"CC027xCC036","54","8027x477_54","10","Influenza","2_16ii","IgG1","Flu","HA","2016_11_25",0.0364737888585523
"CC027xCC036","54","8027x477_54","10","Influenza","2_16ii","IgG2b","Flu","HA","2016_11_25",0.346420694533819
"CC027xCC036","54","8027x477_54","10","Influenza","2_16ii","IgM","Flu","HA","2016_11_25",0.157718566250355
"CC027xCC036","54","8027x477_54","10","Influenza","2_16ii","IgG3","Flu","HA","2016_11_25",0.0683887146558197
"CC027xCC036","57","8027x477_57","10","Influenza","2_16ii","IgG1","FLU","HA","2016_10_10",0.0885619714435058
"CC027xCC036","57","8027x477_57","10","Influenza","2_16ii","IgG2b","FLU","HA","2016_10_10",0.387600392099894
"CC027xCC036","57","8027x477_57","10","Influenza","2_16ii","TotalG","FLU","HA","2016_10_10",1.63219921610217
"CC027xCC036","57","8027x477_57","10","Influenza","2_16ii","IgM","FLU","HA","2016_10_10",0.91581517792619
"CC027xCC036","57","8027x477_57","10","Influenza","2_16ii","IgG2ac","FLU","HA","2016_10_10",1.26876185958751
"CC027xCC036","57","8027x477_57","10","Influenza","2_16ii","IgG3","FLU","HA","2016_10_10",0.139323186802201
"CC027xCC036","59","8027x477_59","7","Influenza","2_16ii","IgG2b","Flu","HA","2017_01_02",0.0589051526227113
"CC027xCC036","59","8027x477_59","7","Influenza","2_16ii","TotalG","Flu","HA","2017_01_02",0.208577961382506
"CC027xCC036","59","8027x477_59","7","Influenza","2_16ii","IgM","Flu","HA","2017_01_02",0.0837743209294184
"CC027xCC036","59","8027x477_59","7","Influenza","2_16ii","IgG2ac","Flu","HA","2017_01_02",0.104908261004933
"CC027xCC036","59","8027x477_59","7","Influenza","2_16ii","IgG1","Flu","HA","2017_01_02",0.0598038644670335
"CC027xCC036","59","8027x477_59","7","Influenza","2_16ii","IgG3","Flu","HA","2017_01_02",0.0226339400755146
"CC027xCC036","65","8027x477_65","7","Influenza","2_16ii","IgG2ac","Flu","HA","2017_01_02",0.129074853000285
"CC027xCC036","65","8027x477_65","7","Influenza","2_16ii","IgG1","Flu","HA","2017_01_02",0.0443593951321505
"CC027xCC036","65","8027x477_65","7","Influenza","2_16ii","IgG2b","Flu","HA","2017_01_02",0.0691077289340669
"CC027xCC036","65","8027x477_65","7","Influenza","2_16ii","IgG3","Flu","HA","2017_01_02",0.0148398487830377
"CC027xCC036","65","8027x477_65","7","Influenza","2_16ii","TotalG","Flu","HA","2017_01_02",0.208623718873067
"CC027xCC036","65","8027x477_65","7","Influenza","2_16ii","IgM","Flu","HA","2017_01_02",0.0714573508916611
"CC027xCC036","68","8027x477_68","7","Influenza","2_16ii","IgG3","Flu","HA","2017_01_02",0.0214182581934352
"CC027xCC036","68","8027x477_68","7","Influenza","2_16ii","IgG2ac","Flu","HA","2017_01_02",0.302215009840242
"CC027xCC036","68","8027x477_68","7","Influenza","2_16ii","IgM","Flu","HA","2017_01_02",0.057346289561427
"CC027xCC036","68","8027x477_68","7","Influenza","2_16ii","TotalG","Flu","HA","2017_01_02",0.23814326522218
"CC027xCC036","68","8027x477_68","7","Influenza","2_16ii","IgG2b","Flu","HA","2017_01_02",0.0650521982689496
"CC027xCC036","68","8027x477_68","7","Influenza","2_16ii","IgG1","Flu","HA","2017_01_02",0.0535424250943933
"CC027xCC045","104","8027x8045_104","15","Influenza","5_15v","IgG1","Flu","HA","2016_01_13",0.0231012881556778
"CC027xCC045","104","8027x8045_104","15","Influenza","5_15v","IgG2b","Flu","HA","2016_01_13",1.57896244758638
"CC027xCC045","104","8027x8045_104","15","Influenza","5_15v","IgG2ac","Flu","HA","2016_01_13",1.6847203305489
"CC027xCC045","104","8027x8045_104","15","Influenza","5_15v","IgM","Flu","HA","2016_01_13",0.134911593401101
"CC027xCC045","104","8027x8045_104","15","Influenza","5_15v","TotalG","Flu","HA","2016_01_13",3.32102640734237
"CC027xCC045","104","8027x8045_104","15","Influenza","5_15v","IgG3","Flu","HA","2016_01_13",0.646679025524236
"CC027xCC045","138","8027x8045_138","45","Influenza","7_15vii","IgG2ac","Flu","HA","2016_12_14",6.61788711874518
"CC027xCC045","138","8027x8045_138","45","Influenza","7_15vii","IgG1","Flu","HA","2016_12_14",2.74352528727264
"CC027xCC045","138","8027x8045_138","45","Influenza","7_15vii","IgG3","Flu","HA","2016_12_14",0.256260991344749
