"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"X3252x8002",3252,8002,63,15,"Influenza","Influenza","HA","11_13xi","2014_01_17",NA,NA,NA,NA,NA,1.44736202767346
"X3252x8002",3252,8002,64,15,"Influenza","Influenza","HA","11_13xi","2017_07_19",0.889832483303191,5.12103083199524,1.63882487225,0.915815058932031,0.234752301560985,5.6762693926226
"X3260x1566",3260,1566,4,15,"Influenza","Influenza","HA","11_15xi","2017_07_10",2.16457473568112,5.53998507450468,1.33213810665261,1.46513834017555,0.285833059502999,6.83485757520755
"X3260x5035",3260,5035,22,15,"Influenza","Influenza","HA","6_15vi","2015_12_28",0.94536137060595,6.34217166087705,2.08135872899614,1.18370929043075,-1.91448295813904,7.5995930274527
"X3260x5035",3260,5035,5,15,"Influenza","Influenza","HA","6_15vi","2015_12_28",0.690809917586893,6.62013567656104,2.2947129766472,1.04426603080637,-2.05866728549332,7.73682825568388
"X3393x8052",3393,8052,69,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",1.42155706993172,7.20406592025546,1.7215065560072,0.853644155985328,-2.08463315207939,8.03912811571291
"X3393x8052",3393,8052,70,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",2.28471850453667,7.22671963069403,1.84398935024956,0.658865652853454,-1.73879576449337,8.08226205578842
"X3393x8052",3393,8052,71,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",2.71672693456071,6.3954941756374,1.61095606573833,0.676121241217884,-1.98349186769726,7.3798209188497
"X3460x16072",3460,16072,116,15,"Influenza","Influenza","HA","9_16ix","2016_12_23",2.07198126367913,7.50919431560836,2.21016335118458,2.14233359948133,-0.732358704069283,7.27350817726392
"X3460x16072",3460,16072,117,15,"Influenza","Influenza","HA","9_16ix","2016_12_23",1.82508720927306,7.42433492047623,2.04862821653529,1.58794134500571,-0.322252374729705,6.61943954102808
"X3460x16072",3460,16072,118,15,"Influenza","Influenza","HA","9_16ix","2016_12_23",2.25143928582146,7.61429893616023,1.78814782413977,2.00272325804886,-1.09262206088373,6.9335670403252
"X3460x16750",3460,16750,78,15,"Influenza","Influenza","HA","2_15ii","2017_02_15",0.866871517590948,3.36742265503329,1.0875549922712,1.12365146163649,-0.960490203169612,4.79881447807134
"X3460x16750",3460,16750,79,15,"Influenza","Influenza","HA","2_15ii","2017_02_15",1.63823266753975,4.08638333832112,1.0590697878647,0.870430244157903,-1.1353797512887,4.45102038677886
"X3460x16750",3460,16750,86,15,"Influenza","Influenza","HA","2_15ii","2017_02_15",2.45665976594229,5.41512811571293,1.4149991317578,1.13748554669747,-1.26078686897993,6.01113144810909
"X3564x8027",3564,8027,18,15,"Influenza","Influenza","HA","3_15iii","2015_05_19",1.93607277590449,8.80234424562289,2.46742598333004,2.19441472356411,-0.170476147088624,9.72810523696764
"X3564x8027",3564,8027,25,15,"Influenza","Influenza","HA","3_15iii","2015_05_19",1.29418245745795,7.27384136125461,2.02670771488637,1.80566060529226,-1.22727267385746,7.79954060516978
"X3564x8027",3564,8027,9,15,"Influenza","Influenza","HA","3_15iii","2017_02_15",2.13923398414467,9.22805259067081,1.38914829593234,1.47527022433804,-1.95455649421541,9.39833046801032
"X3609x5119",3609,5119,31,15,"Influenza","Influenza","HA","11_13xi","2014_01_17",NA,NA,NA,NA,NA,5.95758325427814
"X3609x5119",3609,5119,31,15,"Influenza","Influenza","HA","11_13xi","2014_04_22",0.704963202455783,8.04216743242511,2.30860869296151,1.5650856472988,-1.2553362568833,NA
